center,is_twin_center,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy
600,1,401,8372,103,103.0,92,0.22942643391521197,289,0.7206982543640897,8362,0.32682639052288914,5.6538243785334945,41,81,12,30,0.7317073170731707,0.12300563477777429,3.257384420320395
840,0,401,6233,121,121.0,109,0.2718204488778055,270,0.6733167082294265,6222,0.2856837096168452,5.582318909168932,41,44,19,23,0.5609756097560976,0.03874782891258306,2.937750169993202
1000,0,401,5078,129,129.0,115,0.286783042394015,260,0.6483790523690773,5065,0.27628793575310784,5.542179947469627,41,40,18,21,0.5121951219512195,0.13311132575605614,2.8604260595531854
928,0,401,5524,127,127.0,115,0.286783042394015,264,0.6583541147132169,5513,0.2889978099824551,5.558599824560223,41,50,20,20,0.4878048780487805,0.20110636578803529,2.864612983587269
1253,0,401,4230,139,139.0,122,0.30423940149625933,247,0.6159600997506235,4214,0.27907928454127806,5.487824741798873,41,29,23,9,0.21951219512195122,0.15028717971783112,1.9212001315299068
510,0,401,9504,89,89.0,74,0.18453865336658354,299,0.7456359102244389,9490,0.34492767689966086,5.688784085628131,41,94,12,30,0.7317073170731707,0.17344288886372256,3.2766606720135134
1342,0,401,3849,147,147.0,135,0.33665835411471323,244,0.6084788029925187,3838,0.2626879434289469,5.47338931890462,41,24,25,6,0.14634146341463414,0.758891358342018,1.5855713718799713
1348,0,401,3837,148,148.0,137,0.341645885286783,244,0.6084788029925187,3827,0.26134389408942726,5.473616036211304,41,37,20,15,0.36585365853658536,0.08515113683739049,2.539537327335384
1325,0,401,3893,146,146.0,134,0.3341645885286783,245,0.6109725685785536,3882,0.23127610858845193,5.477526939129696,41,31,22,20,0.4878048780487805,0.02748911111037473,2.7864449127191633
806,0,401,6549,118,118.0,104,0.2593516209476309,271,0.6758104738154613,6536,0.2862356805199926,5.58652299889037,41,52,16,24,0.5853658536585366,0.055825465459894724,3.011202515451165
