center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
600,1,all,401,8372,103,103.0,92,0.22942643391521197,289,0.7206982543640897,8362,0.3423619650759922,5.653048963759338,61,183,17,16,45,0.7377049180327869,0.20494950996762906,3.7174793652188396,1.0,200,200,0,0,,,,,,,,,,
840,0,all,401,6233,121,121.0,109,0.2718204488778055,270,0.6733167082294265,6222,0.32203744142406393,5.5813555239787895,61,126,24,23,38,0.6229508196721312,0.06702160074969803,3.5036813289603965,1.0,200,200,0,0,,,,,,,,,,
1000,0,all,401,5078,129,129.0,115,0.286783042394015,260,0.6483790523690773,5065,0.2994270436332078,5.54123611798432,61,80,23,21,37,0.6065573770491803,0.048926756566155374,3.4407778328995113,1.0,200,200,0,0,,,,,,,,,,
928,0,all,401,5524,127,127.0,115,0.286783042394015,264,0.6583541147132169,5513,0.32153611613500954,5.5575737124665325,61,119,23,22,39,0.639344262295082,0.05737196219775678,3.5380404581403972,1.0,200,200,0,0,,,,,,,,,,
1253,0,all,401,4230,139,139.0,122,0.30423940149625933,247,0.6159600997506235,4214,0.30384453225328667,5.486841786649547,61,72,27,26,35,0.5737704918032787,0.046463453035666874,3.3743590725420134,1.0,200,200,0,0,,,,,,,,,,
510,0,all,401,9504,89,89.0,74,0.18453865336658354,299,0.7456359102244389,9490,0.3669180651338521,5.687888163188944,61,234,16,15,46,0.7540983606557377,0.2669108708294383,3.750136011626454,1.0,200,200,0,0,,,,,,,,,,
1342,0,all,401,3849,147,147.0,135,0.33665835411471323,244,0.6084788029925187,3838,0.268995715113634,5.47235517424806,61,67,28,26,32,0.5245901639344263,0.07634862189543297,3.2945611772619885,1.0,200,200,0,0,,,,,,,,,,
1348,0,all,401,3837,148,148.0,137,0.341645885286783,244,0.6084788029925187,3827,0.27903455830562685,5.472501561118467,61,64,28,26,32,0.5245901639344263,0.062116179135072454,3.284841878470335,1.0,200,200,0,0,,,,,,,,,,
1325,0,all,401,3893,146,146.0,134,0.3341645885286783,245,0.6109725685785536,3882,0.24152140459497762,5.4765545348786695,61,74,27,25,34,0.5573770491803278,0.045721472713645406,3.36041236926098,1.0,200,200,0,0,,,,,,,,,,
806,0,all,401,6549,118,118.0,104,0.2593516209476309,271,0.6758104738154613,6536,0.32367758472748864,5.58557409629473,61,134,17,16,45,0.7377049180327869,0.07199459392994872,3.67851141930081,1.0,200,200,0,0,,,,,,,,,,
