center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
600,1,all,401,8372,103,103.0,92,0.22942643391521197,289,0.7206982543640897,8362,0.3268263905228903,5.6538243785334945,61,183,17,16,45,0.7377049180327869,0.20348324924745614,3.7207447710198824,1.0,200,200,0,0,,,,,,,,,,
840,0,all,401,6233,121,121.0,109,0.2718204488778055,270,0.6733167082294265,6222,0.2856837096168436,5.582318909168931,61,126,24,23,38,0.6229508196721312,0.06418978510680823,3.50768007833394,1.0,200,200,0,0,,,,,,,,,,
1000,0,all,401,5078,129,129.0,115,0.286783042394015,260,0.6483790523690773,5065,0.2762879357531078,5.542179947469628,61,80,23,21,37,0.6065573770491803,0.047239880208131066,3.446415719253634,1.0,200,200,0,0,,,,,,,,,,
928,0,all,401,5524,127,127.0,115,0.286783042394015,264,0.6583541147132169,5513,0.2889978099824554,5.558599824560222,61,119,23,22,39,0.639344262295082,0.059283286997451765,3.5423941637731486,1.0,200,200,0,0,,,,,,,,,,
1253,0,all,401,4230,139,139.0,122,0.30423940149625933,247,0.6159600997506235,4214,0.2790792845412778,5.487824741798874,61,72,27,26,35,0.5737704918032787,0.04895015885316771,3.3791900702837525,1.0,200,200,0,0,,,,,,,,,,
510,0,all,401,9504,89,89.0,74,0.18453865336658354,299,0.7456359102244389,9490,0.34492767689966214,5.688784085628131,61,234,16,15,46,0.7540983606557377,0.2632420779676887,3.7532220354945744,1.0,200,200,0,0,,,,,,,,,,
1342,0,all,401,3849,147,147.0,135,0.33665835411471323,244,0.6084788029925187,3838,0.2626879434289468,5.473389318904621,61,67,28,26,32,0.5245901639344263,0.06981807562968677,3.297186807540596,1.0,200,200,0,0,,,,,,,,,,
1348,0,all,401,3837,148,148.0,137,0.341645885286783,244,0.6084788029925187,3827,0.2613438940894277,5.473616036211304,61,64,28,26,32,0.5245901639344263,0.05968635550527095,3.286655420476265,1.0,200,200,0,0,,,,,,,,,,
1325,0,all,401,3893,146,146.0,134,0.3341645885286783,245,0.6109725685785536,3882,0.23127610858845005,5.477526939129696,61,74,27,25,34,0.5573770491803278,0.04823558628833598,3.3646666618611554,1.0,200,200,0,0,,,,,,,,,,
806,0,all,401,6549,118,118.0,104,0.2593516209476309,271,0.6758104738154613,6536,0.2862356805199929,5.58652299889037,61,134,17,16,45,0.7377049180327869,0.07437598540515725,3.683231779815718,1.0,200,200,0,0,,,,,,,,,,
