center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
600,1,six,,,,,,,,,,,,61,36,38,37,24,0.39344262295081966,0.018962085917976112,2.9450199587947083,1.0,32,48,1,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
840,0,six,,,,,,,,,,,,61,34,36,33,24,0.39344262295081966,0.016483134713740723,2.916026176760944,1.0,38,86,2,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
164334,0,six,,,,,,,,,,,,61,4,57,53,2,0.03278688524590164,2.0,-0.0,1.0,527,6012,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
4512,0,six,,,,,,,,,,,,61,44,37,34,23,0.3770491803278688,0.016077719000028207,2.9422810103918953,1.0,88,446,4,0,1.0,4.0,4.0,0.0,0,1,1,0,4.0,0.0
117942,0,six,,,,,,,,,,,,61,9,53,46,3,0.04918032786885246,1.5,0.6931471805599453,1.0,447,5102,6,0,1.0,2.0,0.0,2.0,1,0,0,1,0.0,2.0
145380,0,six,,,,,,,,,,,,61,6,55,50,3,0.04918032786885246,1.0,0.6365141682948128,1.0,496,5651,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
76662,0,six,,,,,,,,,,,,61,14,49,43,7,0.11475409836065574,0.16989360365297704,1.6271078452257772,1.0,360,4103,6,0,1.0,1.0,0.0,1.0,1,0,0,0,0.0,1.0
106776,0,six,,,,,,,,,,,,61,6,55,50,3,0.04918032786885246,1.0,0.6365141682948128,1.0,425,4847,6,0,1.0,1.0,1.0,0.0,0,1,0,0,1.0,0.0
172044,0,six,,,,,,,,,,,,61,4,57,53,2,0.03278688524590164,2.0,-0.0,1.0,540,6155,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
64092,0,six,,,,,,,,,,,,61,11,51,43,3,0.04918032786885246,1.5,0.6931471805599453,1.0,330,3765,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
