twin_center,control_center,twin_gap,control_gap,twin_entropy,control_entropy,twin_edges,control_edges,twin_gc_fraction,control_gc_fraction,twin_K0,twin_K_used,twin_K_bumps,twin_hit_kmax,control_K0,control_K_used,control_K_bumps,control_hit_kmax,delta_K_used,delta_logK,delta_edges,delta_gc_fraction,d,strict_pass
600,738,0.018962085917976112,0.07448589354136294,2.9450199587947083,2.8777259556832404,36,35,0.39344262295081966,0.36065573770491804,32,48,1,0,36,81,2,0,-33,-0.523248143764548,1,0.03278688524590162,23,0
147210,147456,0.5,0.42264973081037427,0.9743147528693494,1.261202862571566,10,7,0.06557377049180328,0.08196721311475409,499,5691,6,0,500,5697,6,0,-6,-0.0010537408772712809,3,-0.01639344262295081,41,0
147210,146880,0.5,1.0,0.9743147528693494,0.6365141682948128,10,9,0.06557377049180328,0.04918032786885246,499,5691,6,0,499,5691,6,0,0,0.0,1,0.016393442622950824,-55,1
31122,31404,0.08821321416250659,0.09112175733580477,2.0474459495943664,2.6610087358061474,29,29,0.16393442622950818,0.29508196721311475,230,2624,6,0,231,2640,6,0,-16,-0.006079046076382433,0,-0.13114754098360656,47,0
31122,30006,0.08821321416250659,0.1282622402921297,2.0474459495943664,2.372446837087352,29,29,0.16393442622950818,0.21311475409836064,230,2624,6,0,226,2579,6,0,45,0.017298144182634978,0,-0.04918032786885246,-186,1
75210,75234,0.6096117967977925,0.4999999999999998,1.5488371687775784,0.9743147528693494,19,13,0.09836065573770492,0.06557377049180328,357,4071,6,0,357,4071,6,0,0,0.0,6,0.032786885245901634,4,0
75210,76332,0.6096117967977925,0.2144990055083377,1.5488371687775784,1.676231440409727,19,17,0.09836065573770492,0.11475409836065574,357,4071,6,0,360,4103,6,0,-32,-0.007829743939206324,2,-0.016393442622950824,187,1
1872,2010,0.22913458948293466,0.07796387865502594,2.5145480061986833,2.910656853792508,36,39,0.2459016393442623,0.36065573770491804,57,194,3,0,59,201,3,0,-7,-0.03544674899574751,-3,-0.11475409836065575,23,0
1872,1890,0.22913458948293466,0.1526331472003568,2.5145480061986833,2.7123971223207644,36,41,0.2459016393442623,0.29508196721311475,57,194,3,0,57,194,3,0,0,0.0,-5,-0.04918032786885246,3,1
127818,127530,1.0,1.0,0.6365141682948128,0.6365141682948128,9,9,0.04918032786885246,0.04918032786885246,465,5304,6,0,465,5304,6,0,0,0.0,0,0.0,-48,0
127818,127530,1.0,1.0,0.6365141682948128,0.6365141682948128,9,9,0.04918032786885246,0.04918032786885246,465,5304,6,0,465,5304,6,0,0,0.0,0,0.0,-48,1
199152,198864,2.0,1.0,-0.0,0.6365141682948128,5,5,0.03278688524590164,0.04918032786885246,581,6623,6,0,580,6609,6,0,14,0.002116083014525927,0,-0.016393442622950817,-48,0
199152,198564,2.0,1.0,-0.0,0.6365141682948128,5,5,0.03278688524590164,0.04918032786885246,581,6623,6,0,580,6609,6,0,14,0.002116083014525927,0,-0.016393442622950817,-98,1
79902,79884,1.0,1.0,0.6365141682948128,0.6365141682948128,7,4,0.04918032786885246,0.04918032786885246,368,4193,6,0,368,4193,6,0,0,0.0,3,0.0,-3,0
79902,80742,1.0,1.0,0.6365141682948128,0.6365141682948128,7,7,0.04918032786885246,0.04918032786885246,368,4193,6,0,370,4220,6,0,-27,-0.0064186598592961275,0,0.0,140,1
53610,53376,0.17951818490005603,0.08612432894946861,2.261406190759808,2.2358036969780826,26,20,0.19672131147540983,0.19672131147540983,301,3434,6,0,301,3434,6,0,0,0.0,6,0.0,-39,0
53610,52422,0.17951818490005603,0.11325547857106179,2.261406190759808,2.311171740949007,26,25,0.19672131147540983,0.21311475409836064,301,3434,6,0,298,3401,6,0,33,0.009656256450226053,1,-0.01639344262295081,-198,1
