center,is_twin_center,core_gc_spectral_gap,core_gc_entropy,core_edges,core_gc_fraction
580,0,0.26332035106234597,4.020244096571193,369.0,0.7283950617283951
527,0,0.2633043131267176,4.038038543672395,404.0,0.7407407407407407
579,0,0.2621456054135105,4.018050207901719,353.0,0.7283950617283951
581,0,0.2568378027758411,4.017904675339938,351.0,0.7283950617283951
524,0,0.2549173445161551,4.038067880574344,405.0,0.7407407407407407
513,0,0.25220630723750176,4.052891482701277,398.0,0.7530864197530864
514,0,0.2503634960964475,4.036083746129438,391.0,0.7407407407407407
755,0,0.24902315756058593,3.8575648045765534,268.0,0.6296296296296297
503,0,0.2482928046639294,4.019108182420175,388.0,0.7283950617283951
506,0,0.23890450079604686,4.037755650575885,401.0,0.7407407407407407
623,0,0.2364652321621754,3.9131933866658435,271.0,0.6666666666666666
593,0,0.23437745155785256,3.9779000989666278,317.0,0.7037037037037037
592,0,0.22853259577882884,3.999194587817295,335.0,0.7160493827160493
625,0,0.22344129204763918,3.9156369328990417,287.0,0.6666666666666666
598,0,0.22168456395517275,3.9930533454605337,311.0,0.7160493827160493
511,0,0.22115596304794405,4.050528915271821,388.0,0.7530864197530864
768,0,0.21961666707537453,3.9795836953746497,276.0,0.7160493827160493
550,0,0.21903168322214564,4.038829229436541,420.0,0.7407407407407407
600,1,0.21688739444779992,3.993230338440346,316.0,0.7160493827160493
509,0,0.21629200972740564,4.052061245061003,397.0,0.7530864197530864
510,0,0.21269544389535316,4.051297745014701,395.0,0.7530864197530864
609,0,0.2097828284913668,3.9876959946190174,289.0,0.7160493827160493
567,0,0.20939528562333443,4.051911688946328,387.0,0.7530864197530864
563,0,0.20930242750069156,4.036715797383792,398.0,0.7407407407407407
602,0,0.20894827630542806,3.9676377057811894,280.0,0.7037037037037037
689,0,0.20884686902989597,3.93296521660241,268.0,0.6790123456790124
771,0,0.20875637183443313,3.957138154369183,255.0,0.7037037037037037
699,0,0.20799429147688028,3.895430799280247,254.0,0.654320987654321
695,0,0.2069406255022542,3.9154042108461073,269.0,0.6666666666666666
690,0,0.2057686281694206,3.933728653390975,274.0,0.6790123456790124
