f_idx,power
1,124.5002477471086
2,133.13017171861637
3,122.40199552400378
4,139.41159605332595
5,133.17606025157207
6,131.88697696781242
7,128.24553953459971
8,130.36995518117533
9,127.69555997962301
10,130.12012472240707
11,129.4043230386153
12,125.01988151183697
13,124.60412641380914
14,128.40874709486673
15,127.60044273293518
16,129.77746649601912
17,132.894127765431
18,129.26985923621262
19,130.82927755149063
20,134.63129795726286
21,124.86224307818773
22,128.88903887528457
23,129.132658219585
24,125.15779374336938
25,123.1876206473902
26,147.2480538322935
27,125.27574070677967
28,129.40673288292137
29,131.4200202490122
30,136.573543262789
31,124.52490197128516
32,132.20163536056774
33,134.18404186883612
34,134.64013620050335
35,129.00635264273626
36,133.96721263723632
37,132.68599669591637
38,128.16360647993812
39,133.03239826523986
40,142.53172530706513
41,131.39903739162142
