layer,rank,period,power,harmonic_fit,rel_error
1,1,6.5001787629603145,854762.8307743467,13/(2*1),2.7501237555670125e-05
1,2,3.2500893814801572,695972.8904898252,13/(2*2),2.7501237555670125e-05
1,3,18.99791013584117,404978.6895339031,19/1,0.0001100049502227567
1,4,2.111124013005109,378767.4889664282,19/9,6.1113861234928014e-06
1,5,2.1667262543201047,374178.0096966053,13/(2*3),2.7501237555670125e-05
1,6,2.428666844776917,355287.5395829128,17/7,3.9287482222561e-05
1,7,8.499766245909303,339457.7633505787,17/(2*1),2.7501237555755862e-05
1,8,3.400224424911165,313857.49802257004,17/5,6.600297013365744e-05
1,9,5.749841872232764,262681.1925179802,23/(2*2),2.7501237555664992e-05
1,10,2.3750489875898104,259460.08568250507,19/(2*4),2.0625928166700873e-05
2,1,5.659919028340081,4529.253152796157,17/3,0.0011921793037673568
2,2,2.1246200607902734,4131.645725022467,17/(2*4),0.00017882689556515018
2,3,6.32579185520362,4028.1667476636753,19/3,0.0011921793037672824
2,4,2.8356997971602436,3998.436921319227,17/(2*3),0.000834525512637103
2,5,5.753086419753086,3637.418752093382,23/(2*2),0.0005364806866952428
2,6,2.11178247734139,3622.8657040207436,19/9,0.00031791448100461876
2,7,3.1700680272108843,3373.511024225981,19/(2*3),0.0010729613733905941
2,8,3.83013698630137,3314.7742383979066,23/(2*3),0.000834525512637131
2,9,3.4014598540145986,3173.930320310746,17/5,0.00042918454935626836
2,10,4.755102040816326,2969.9323346618926,19/(2*2),0.001072961373390501
3,1,3.1538461538461537,147.2480538322935,19/(2*3),0.00406504065040649
3,2,2.05,142.53172530706513,37/(2*9),0.002710027100270993
3,3,20.5,139.41159605332595,19/1,0.07317073170731707
3,4,2.7333333333333334,136.573543262789,19/7,0.006968641114982553
3,5,2.411764705882353,134.64013620050335,29/(2*6),0.002032520325203245
3,6,4.1,134.63129795726286,37/9,0.002710027100270993
3,7,2.484848484848485,134.18404186883612,29/(2*6),0.02743902439024397
3,8,2.2777777777777777,133.96721263723632,23/(2*5),0.009756097560975575
3,9,16.4,133.17606025157207,31/(2*1),0.05487804878048772
3,10,41.0,133.13017171861637,37/1,0.0975609756097561
