t,is_twin,K,eps,t_mod_13,dist_to_forbid_13,layer_allow_L1,layer_allow_L2,layer_allow_L3,n_components,gc_size,gc_fraction,second_gc_size,second_gc_fraction,isolated_nodes,triangle_count,transitivity,avg_clustering,adj_spectral_radius,adj_entropy
12656,1,120,1e-12,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
12656,1,120,1e-09,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
12656,1,120,1e-06,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
12656,1,240,1e-12,7,3,1,1,1,60,2,0.03278688524590164,1,0.01639344262295082,59,0.0,0.0,0.0,1.0,-0.0
12656,1,240,1e-09,7,3,1,1,1,60,2,0.03278688524590164,1,0.01639344262295082,59,0.0,0.0,0.0,1.0,-0.0
12656,1,240,1e-06,7,3,1,1,1,60,2,0.03278688524590164,1,0.01639344262295082,59,0.0,0.0,0.0,1.0,-0.0
79852,1,120,1e-12,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79852,1,120,1e-09,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79852,1,120,1e-06,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79852,1,240,1e-12,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79852,1,240,1e-09,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79852,1,240,1e-06,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
22854,1,120,1e-12,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
22854,1,120,1e-09,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
22854,1,120,1e-06,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
22854,1,240,1e-12,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
22854,1,240,1e-09,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
22854,1,240,1e-06,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
127232,1,120,1e-12,1,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
127232,1,120,1e-09,1,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
127232,1,120,1e-06,1,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
127232,1,240,1e-12,1,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
127232,1,240,1e-09,1,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
127232,1,240,1e-06,1,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79461,1,120,1e-12,5,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79461,1,120,1e-09,5,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79461,1,120,1e-06,5,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79461,1,240,1e-12,5,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79461,1,240,1e-09,5,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
79461,1,240,1e-06,5,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
29322,1,120,1e-12,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
29322,1,120,1e-09,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
29322,1,120,1e-06,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
29322,1,240,1e-12,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
29322,1,240,1e-09,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
29322,1,240,1e-06,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
8898,1,120,1e-12,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
8898,1,120,1e-09,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
8898,1,120,1e-06,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
8898,1,240,1e-12,6,3,1,1,1,56,3,0.04918032786885246,2,0.03278688524590164,52,0.0,0.0,0.0,1.4142135623730951,1.3737953989580625
8898,1,240,1e-09,6,3,1,1,1,56,3,0.04918032786885246,2,0.03278688524590164,52,0.0,0.0,0.0,1.4142135623730951,1.3737953989580625
8898,1,240,1e-06,6,3,1,1,1,56,3,0.04918032786885246,2,0.03278688524590164,52,0.0,0.0,0.0,1.4142135623730951,1.3737953989580625
117670,1,120,1e-12,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
117670,1,120,1e-09,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
117670,1,120,1e-06,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
117670,1,240,1e-12,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
117670,1,240,1e-09,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
117670,1,240,1e-06,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
