metric,K,eps,mod_effect_score,layer_effect_score,corr_dist
n_components,120,1e-12,0.0850108698640659,0.00028395255632206266,-0.0012041480093791135
gc_size,120,1e-12,0.07960822610194304,0.00022811293805671622,0.0017257088981322275
gc_fraction,120,1e-12,2.13943096215918e-05,6.13042026489421e-08,0.001725708898132359
second_gc_size,120,1e-12,0.0008803573955146377,6.188116842400807e-07,-0.014295584590258315
second_gc_fraction,120,1e-12,2.365916139517967e-07,1.6630252196721925e-10,-0.01429558459025832
isolated_nodes,120,1e-12,0.09503581428287813,0.0003123391238251205,-0.0014856455022688663
triangle_count,120,1e-12,6219.264596367867,3.6489484580864833,0.008776917789655548
transitivity,120,1e-12,1.7974293305449973e-05,5.031240528000706e-08,-0.0025644622895635957
avg_clustering,120,1e-12,1.2960638099904864e-05,3.121729668573579e-08,0.0007513922009926552
adj_spectral_radius,120,1e-12,0.02507523876279151,3.8568865345092804e-05,0.006802521473429917
adj_entropy,120,1e-12,0.00029776447838612716,7.559298246850158e-07,-0.0034671970639835598
n_components,120,1e-09,0.0850108698640659,0.00028395255632206266,-0.0012041480093791135
gc_size,120,1e-09,0.07960822610194304,0.00022811293805671622,0.0017257088981322275
gc_fraction,120,1e-09,2.13943096215918e-05,6.13042026489421e-08,0.001725708898132359
second_gc_size,120,1e-09,0.0008803573955146377,6.188116842400807e-07,-0.014295584590258315
second_gc_fraction,120,1e-09,2.365916139517967e-07,1.6630252196721925e-10,-0.01429558459025832
isolated_nodes,120,1e-09,0.09503581428287813,0.0003123391238251205,-0.0014856455022688663
triangle_count,120,1e-09,6219.264596367867,3.6489484580864833,0.008776917789655548
transitivity,120,1e-09,1.7974293305449973e-05,5.031240528000706e-08,-0.0025644622895635957
avg_clustering,120,1e-09,1.2960638099904864e-05,3.121729668573579e-08,0.0007513922009926552
adj_spectral_radius,120,1e-09,0.02507523876279151,3.8568865345092804e-05,0.006802521473429917
adj_entropy,120,1e-09,0.00029776447838612716,7.559298246850158e-07,-0.0034671970639835598
n_components,120,1e-06,0.0850108698640659,0.00028395255632206266,-0.0012041480093791135
gc_size,120,1e-06,0.07960822610194304,0.00022811293805671622,0.0017257088981322275
gc_fraction,120,1e-06,2.13943096215918e-05,6.13042026489421e-08,0.001725708898132359
second_gc_size,120,1e-06,0.0008803573955146377,6.188116842400807e-07,-0.014295584590258315
second_gc_fraction,120,1e-06,2.365916139517967e-07,1.6630252196721925e-10,-0.01429558459025832
isolated_nodes,120,1e-06,0.09503581428287813,0.0003123391238251205,-0.0014856455022688663
triangle_count,120,1e-06,6219.264596367867,3.6489484580864833,0.008776917789655548
transitivity,120,1e-06,1.7974293305449973e-05,5.031240528000706e-08,-0.0025644622895635957
avg_clustering,120,1e-06,1.2960638099904864e-05,3.121729668573579e-08,0.0007513922009926552
adj_spectral_radius,120,1e-06,0.02507523876279151,3.8568865345092804e-05,0.006802521473429917
adj_entropy,120,1e-06,0.00029776447838612716,7.559298246850158e-07,-0.0034671970639835598
