p,score,smooth_score,survive_Q1,is_prime
2,0.333333,0.158176,0,1
3,0.142857,0.158178,0,1
5,0.0322581,0.164424,0,1
7,0.00787402,0.172439,0,1
11,0.0547142,0.185147,0,1
13,0.000122085,0.190104,0,1
17,0,0.201761,0,1
19,0,0.20875,1,1
23,0.0212766,0.222894,0,1
29,0.00567716,0.238879,0,1
31,0,0.247795,1,1
37,0.0044843,0.264624,0,1
41,7.48111e-05,0.277894,0,1
43,0.00242308,0.284851,0,1
47,0.000646933,0.296852,0,1
53,0.000157208,0.31106,0,1
59,0,0.313426,0,1
61,0,0.313909,1,1
67,0,0.3137,1,1
71,0,0.315373,1,1
73,0.0022779,0.31471,0,1
79,0.000372162,0.313896,0,1
83,0.00598802,0.314815,0,1
89,0,0.313436,1,1
97,8.73591e-05,0.315598,0,1
101,0,0.314203,1,1
103,0,0.314744,1,1
107,0,0.314314,1,1
109,0,0.314096,1,1
113,0.000337855,0.314708,0,1
127,0,0.314618,1,1
131,0.00380228,0.315446,0,1
137,0,0.315347,1,1
139,0,0.31438,1,1
149,0,0.315365,1,1
151,5.51846e-05,0.315252,0,1
157,0,0.315356,1,1
163,0,0.313776,0,1
167,0,0.315868,1,1
173,0,0.313956,1,1
179,0.00348335,0.314814,0,1
181,2.30197e-05,0.315605,0,1
191,0.00261097,0.315709,0,1
193,0,0.316432,1,1
197,0.000133565,0.313588,0,1
199,0,0.313992,1,1
211,6.58198e-05,0.315095,0,1
223,5.46837e-05,0.31517,0,1
227,0,0.315152,1,1
229,0,0.315233,1,1
233,0.000714796,0.314298,0,1
239,0.00278473,0.316233,0,1
241,0,0.316159,1,1
251,0.00198807,0.314728,0,1
257,0,0.315105,1,1
263,4.22458e-05,0.315772,0,1
269,0,0.31442,1,1
271,0,0.314428,1,1
277,0,0.315102,1,1
281,0,0.315639,0,1
283,0.000103918,0.314449,0,1
293,0,0.314584,1,1
307,0,0.313584,1,1
311,0,0.315881,1,1
313,0,0.316201,1,1
317,0.000105141,0.314812,0,1
331,0,0.314163,1,1
337,5.49481e-05,0.316,0,1
347,0,0.316464,1,1
349,0,0.315836,1,1
353,0,0.315136,1,1
359,0.00139082,0.315295,0,1
367,8.01346e-05,0.315037,0,1
373,0,0.315962,1,1
379,0,0.314849,1,1
383,0,0.316485,1,1
389,0,0.314643,1,1
397,0.000577045,0.314687,0,1
401,0,0.315891,1,1
409,0,0.316026,1,1
419,0.0011919,0.31541,0,1
421,0,0.315258,1,1
431,0.00144869,0.316064,0,1
433,0,0.316374,1,1
439,0,0.315735,1,1
443,0.0011274,0.315327,0,1
449,0,0.31435,1,1
457,0,0.316906,1,1
461,0.000361402,0.314917,0,1
463,8.99847e-05,0.315677,0,1
467,0,0.31513,1,1
479,0,0.316654,1,1
487,0.000205297,0.314684,0,1
491,0.00101729,0.316029,0,1
499,4.77122e-05,0.314831,0,1
503,0,0.315906,1,1
509,0,0.315015,1,1
521,0,0.314098,1,1
523,0,0.314372,1,1
541,0,0.314859,1,1
547,0.000182782,0.31487,0,1
557,0.000299133,0.313682,0,1
563,0,0.315502,1,1
569,0,0.315643,1,1
571,0.000211585,0.315079,0,1
577,0.000288767,0.316399,0,1
587,0,0.315097,1,1
