p,killed_Q0,killed_Q1,death_later,ap_count_Q0,ap_count_delta,ap_harm_delta,min_q_delta,logp
2,1,1,0,5132,12851,0.24073027151538362,50021,0.6931471805599453
3,1,1,0,2556,6432,0.1803612034875498,50023,1.0986122886681098
5,1,1,0,1274,3204,0.15036708867588497,50021,1.6094379124341003
7,1,1,0,848,2134,0.1402834868945474,50023,1.9459101490553132
11,1,1,0,507,1287,0.13245715702084535,50051,2.3978952727983707
13,1,1,0,428,1070,0.130206953629207,50051,2.5649493574615367
17,0,1,1,320,798,0.1284857466008222,50287,2.833213344056216
19,0,0,0,282,705,0.12499309414411416,50047,2.9444389791664403
23,1,1,0,221,591,0.1282364778321173,50417,3.1354942159291497
29,1,1,0,183,456,0.12385632672828943,50287,3.367295829986474
31,0,0,0,171,427,0.12509157131857232,50159,3.4339872044851463
37,1,1,0,141,356,0.12409395952156388,50321,3.6109179126442243
41,1,1,0,123,340,0.13080567055274434,50021,3.713572066704308
43,1,1,0,126,299,0.12406732406174599,50053,3.7612001156935624
47,1,1,0,111,275,0.12054275372731779,50291,3.8501476017100584
53,1,1,0,94,254,0.12622450593721413,50033,3.970291913552122
59,0,1,1,83,228,0.12996683846849388,50033,4.07753744390572
61,0,0,0,88,209,0.12181099969374123,50021,4.110873864173311
67,0,0,0,78,195,0.12074644595016266,51859,4.204692619390966
71,0,0,0,76,182,0.12373196320399084,50411,4.2626798770413155
73,1,1,0,72,176,0.11867237468220039,51539,4.290459441148391
79,1,1,0,74,160,0.11688531753240777,50087,4.3694478524670215
83,1,1,0,64,144,0.11067697579651023,51461,4.418840607796598
89,0,0,0,54,148,0.1220523267867762,50909,4.48863636973214
97,1,1,0,52,136,0.12231886720451063,50053,4.574710978503383
101,0,0,0,49,120,0.11443179643315436,51511,4.61512051684126
103,0,0,0,50,119,0.11231654206606412,51913,4.634728988229636
107,0,0,0,41,122,0.12447174724917807,50077,4.672828834461906
109,0,0,0,42,119,0.1221392621368635,50359,4.6913478822291435
113,1,1,0,45,108,0.11315421729534425,52433,4.727387818712341
127,0,0,0,42,99,0.1205114288106804,51563,4.844187086458591
131,1,1,0,41,99,0.11928870513660678,54497,4.875197323201151
137,0,0,0,39,94,0.12511601418169782,50417,4.919980925828125
139,0,0,0,31,91,0.12135309415525176,51431,4.9344739331306915
149,0,0,0,32,88,0.12768276054742497,50363,5.003946305945459
151,1,1,0,34,90,0.12386249842916737,51341,5.017279836814924
157,0,0,0,28,85,0.130820673281679,53381,5.056245805348308
163,0,1,1,31,81,0.12458875744527129,50857,5.093750200806762
167,0,0,0,24,93,0.14401809639903343,50101,5.117993812416755
173,0,0,0,33,68,0.10249395641967443,54323,5.153291594497779
179,1,1,0,30,78,0.1236484507255575,52627,5.187385805840755
181,1,1,0,34,70,0.11886948570445888,51043,5.198497031265826
191,1,1,0,28,57,0.09840727292360235,55009,5.25227342804663
193,0,0,0,30,73,0.12552183229746994,52883,5.262690188904886
197,1,1,0,28,64,0.1252273635040892,52009,5.2832037287379885
199,0,0,0,20,69,0.12236672337676588,51343,5.293304824724492
211,1,1,0,23,61,0.11796827750662242,51907,5.351858133476067
223,1,1,0,21,50,0.1062133151679224,52183,5.407171771460119
227,0,0,0,22,58,0.12162605235954942,50849,5.424950017481403
229,0,0,0,24,58,0.13070145941011976,50839,5.43372200355424
233,1,1,0,24,59,0.12839163639335277,50329,5.4510384535657
239,1,1,0,20,54,0.12069776309681865,52103,5.476463551931511
241,0,0,0,22,53,0.12065611222608574,50129,5.484796933490655
251,1,1,0,23,41,0.09194431353795353,52711,5.5254529391317835
257,0,0,0,16,48,0.10822338728454307,60139,5.54907608489522
263,1,1,0,17,52,0.131828562580727,50497,5.572154032177765
269,0,0,0,18,46,0.11999814317599479,54877,5.594711379601839
271,0,0,0,16,54,0.138099172266776,53117,5.602118820879701
277,0,0,0,19,47,0.1256828094133153,50969,5.6240175061873385
281,0,1,1,18,41,0.10689434540538785,50581,5.638354669333745
283,1,1,0,17,44,0.11698445694770002,52639,5.645446897643238
293,0,0,0,18,46,0.1282707057720053,53327,5.680172609017068
307,0,0,0,17,44,0.12861820291066386,51577,5.726847747587197
311,0,0,0,17,38,0.10804376834642451,50383,5.739792912179234
313,0,0,0,14,39,0.12101610506995902,50707,5.746203190540153
317,1,1,0,9,41,0.12307577668470471,50087,5.75890177387728
331,0,0,0,14,31,0.10620868496434803,51637,5.802118375377063
337,1,1,0,14,37,0.11492551172029015,50551,5.820082930352362
347,0,0,0,16,40,0.12625166418988903,52051,5.849324779946859
349,0,0,0,11,42,0.13086453312831578,60029,5.855071922202427
353,0,0,0,9,34,0.12752098738179826,50833,5.8664680569332965
359,1,1,0,13,43,0.14134672657919406,50261,5.883322388488279
367,1,1,0,15,36,0.12738844242365877,50647,5.905361848054571
373,0,0,0,14,34,0.12412426251284867,52967,5.921578419643816
379,0,0,0,13,30,0.10577310805639441,53819,5.937536205082426
383,0,0,0,11,37,0.13041088126073483,58217,5.948034989180646
389,0,0,0,9,34,0.12230649263662582,51349,5.963579343618446
397,1,1,0,15,36,0.14169053499000925,50023,5.983936280687191
401,0,0,0,13,31,0.11941514907419097,50527,5.993961427306569
409,0,0,0,14,33,0.13108451392765327,53171,6.013715156042802
419,1,1,0,10,32,0.13164036706699858,53633,6.037870919922137
421,0,0,0,12,28,0.10960180479837979,53047,6.042632833682381
431,1,1,0,12,30,0.12183235200688271,51721,6.066108090103747
433,0,0,0,14,30,0.1282607066302033,53693,6.07073772800249
439,0,0,0,9,28,0.12697006114602516,50047,6.0844994130751715
443,1,1,0,11,32,0.14307714126920248,50503,6.093569770045136
449,0,0,0,8,32,0.13471834828969276,53881,6.1070228877422545
457,0,0,0,6,29,0.12539458785678956,53927,6.124683390894205
461,1,1,0,12,29,0.11340620212207327,59009,6.133398042996649
463,1,1,0,11,27,0.11951668697109553,52783,6.137727054086234
467,0,0,0,12,29,0.12194961158647108,53239,6.1463292576688975
479,0,0,0,13,28,0.13220965160502518,52691,6.171700597410915
487,1,1,0,9,24,0.10664719314509345,57467,6.18826412308259
491,1,1,0,10,23,0.1082089934114789,54011,6.19644412779452
499,1,1,0,7,27,0.1223640877783285,55889,6.212606095751519
503,0,0,0,13,28,0.1267516845220622,51307,6.220590170099739
509,0,0,0,11,29,0.14993950780311038,52937,6.2324480165505225
521,0,0,0,6,23,0.10886103701357427,51059,6.255750041753367
523,0,0,0,11,24,0.12355722136837015,52301,6.259581464064923
541,0,0,0,11,24,0.12340095561495049,54101,6.293419278846481
547,1,1,0,8,18,0.09669604500342345,51419,6.304448802421981
557,1,1,0,7,15,0.09077000501511232,50131,6.322565239927284
563,0,0,0,9,29,0.15936016474861628,50671,6.333279628139691
569,0,0,0,10,17,0.09016636530301517,55763,6.343880434126331
571,1,1,0,9,23,0.12392569630202435,58243,6.3473892096560105
577,1,1,0,10,24,0.1238157492439381,50777,6.3578422665081
587,0,0,0,6,15,0.08298577897515835,57527,6.375024819828097
593,0,1,1,8,20,0.11470949566935669,56929,6.385194398997726
599,0,0,0,8,21,0.12757690380885073,55109,6.395261598115449
601,1,1,0,11,24,0.13891485319797817,52889,6.398594934535208
607,0,0,0,9,23,0.1357012610042481,50989,6.408528791059498
613,0,0,0,8,20,0.11404907583147685,55171,6.418364935936212
617,0,1,1,6,26,0.14072679368182162,51829,6.424869023905388
619,0,1,1,7,17,0.10483464454519015,55711,6.428105272684596
631,0,0,0,11,19,0.1046887171249758,55529,6.447305862541213
641,1,1,0,11,16,0.09857791943652601,55127,6.46302945692067
643,0,0,0,4,24,0.16779755700776608,52727,6.466144724237619
647,0,0,0,8,17,0.10761547384750075,58231,6.472346294500901
653,0,0,0,9,19,0.11376955334598851,58771,6.481577129276431
659,1,1,0,8,17,0.09589104771706217,52721,6.490723534502507
661,0,0,0,7,21,0.1268451223753373,58169,6.493753839851686
673,0,0,0,5,18,0.1151011800118259,56533,6.511745329644728
677,0,0,0,9,16,0.09999752169133591,52807,6.517671272912275
683,1,1,0,4,16,0.1146181147894838,50543,6.52649485957079
691,0,0,0,8,16,0.11207594682200057,52517,6.53813982376767
701,0,0,0,7,21,0.1436828077778592,54679,6.55250788703459
709,0,0,0,7,14,0.09460299606845426,59557,6.5638555265321274
719,1,1,0,7,19,0.12206241698114248,51769,6.577861357721047
727,0,0,0,6,17,0.11205128892001717,50891,6.588926477533519
733,0,0,0,4,20,0.12990828908849145,60107,6.597145701886651
739,0,0,0,8,17,0.1111611208143536,65033,6.6052979209482015
743,1,1,0,6,19,0.1288561743684053,54983,6.610696044717759
751,0,0,0,5,16,0.12854016595321238,52571,6.621405651764134
757,0,0,0,6,17,0.11504089038942902,63589,6.6293632534374485
761,1,1,0,7,17,0.13220825771672357,50227,6.634633357861686
769,0,0,0,7,17,0.11538235381959693,53831,6.645090969505644
773,0,0,0,7,14,0.0979139464228688,57203,6.650279048587422
787,0,0,0,6,19,0.12970710052918966,66109,6.668228248417403
797,0,0,0,6,21,0.15703063868058817,58979,6.680854678790215
809,0,0,0,8,17,0.13303827340784663,50159,6.695798917058491
811,0,0,0,6,15,0.1292100024818424,53527,6.698268054115413
821,0,0,0,9,16,0.11556445201515936,55829,6.710523109452428
823,0,0,0,6,21,0.15922254625585233,52673,6.71295620067707
827,0,1,1,5,16,0.13692300180692638,54583,6.717804695023691
829,0,1,1,6,18,0.14805168412607753,58031,6.720220155135295
839,1,1,0,5,17,0.13241756323943552,50341,6.732210706467206
853,0,0,0,5,12,0.09403878421132354,56299,6.748759547491679
857,1,1,0,5,16,0.12016249452141879,51421,6.75343791859778
859,0,0,0,6,13,0.09779254634596592,67003,6.755768921984255
863,0,0,0,5,14,0.13156099147836606,53507,6.760414691083428
877,1,1,0,6,13,0.09788961699111695,50867,6.776506992372183
881,1,1,0,5,19,0.16243677308319732,52861,6.78105762593618
883,1,1,0,6,12,0.10302321885229312,52981,6.78332520060396
887,0,0,0,4,19,0.15332202626422234,58543,6.787844982309579
907,0,0,0,4,12,0.11276642680967988,54421,6.810142450115136
911,1,1,0,4,17,0.14173961038148458,60127,6.814542897259958
