p,killed_Q0,survive_Q1,hazard,rank
3389,0,1,0.0,1
3833,0,1,0.0,2
4093,0,1,0.0,3
4657,0,1,0.0,4
5227,0,1,0.0,5
5281,0,1,0.0,6
5417,0,1,0.0,7
5501,0,1,0.0,8
5641,0,1,0.0,9
5813,0,1,0.0,10
5981,0,1,0.0,11
6113,0,1,0.0,12
6301,0,1,0.0,13
6311,0,1,0.0,14
6521,0,1,0.0,15
6581,0,1,0.0,16
6637,0,1,0.0,17
6659,0,1,0.0,18
6703,0,1,0.0,19
6733,0,1,0.0,20
6791,0,1,0.0,21
6907,0,1,0.0,22
7213,0,1,0.0,23
7411,0,1,0.0,24
7507,0,1,0.0,25
7537,0,1,0.0,26
7541,0,1,0.0,27
7547,0,1,0.0,28
7549,0,1,0.0,29
7591,0,1,0.0,30
7607,0,1,0.0,31
7639,0,1,0.0,32
7723,0,1,0.0,33
7753,0,1,0.0,34
7789,0,1,0.0,35
7817,0,1,0.0,36
7841,0,1,0.0,37
7867,0,1,0.0,38
7877,0,1,0.0,39
8171,0,1,0.0,40
8191,0,1,0.0,41
8209,0,1,0.0,42
8221,0,1,0.0,43
8233,0,1,0.0,44
8287,0,1,0.0,45
8329,0,1,0.0,46
8539,0,1,0.0,47
8543,0,1,0.0,48
8563,0,1,0.0,49
8623,0,1,0.0,50
8647,0,1,0.0,51
8689,0,1,0.0,52
8737,0,1,0.0,53
8747,0,1,0.0,54
8803,0,1,0.0,55
8839,0,1,0.0,56
8941,0,1,0.0,57
9013,0,1,0.0,58
9049,0,1,0.0,59
9103,0,1,0.0,60
9109,0,1,0.0,61
9137,0,1,0.0,62
9161,0,1,0.0,63
9199,0,1,0.0,64
9221,0,1,0.0,65
9227,0,1,0.0,66
9241,0,1,0.0,67
9293,0,1,0.0,68
9403,0,1,0.0,69
9437,0,1,0.0,70
9439,0,1,0.0,71
9467,0,1,0.0,72
9491,0,1,0.0,73
9521,0,1,0.0,74
9533,0,1,0.0,75
9601,0,1,0.0,76
9679,0,1,0.0,77
9803,0,1,0.0,78
9817,0,1,0.0,79
9859,0,1,0.0,80
10007,0,1,0.0,81
10009,0,1,0.0,82
10151,0,1,0.0,83
10193,0,1,0.0,84
10243,0,1,0.0,85
10273,0,1,0.0,86
10289,0,1,0.0,87
10301,0,1,0.0,88
10343,0,1,0.0,89
10463,0,1,0.0,90
10613,0,1,0.0,91
10627,0,1,0.0,92
10739,0,1,0.0,93
