budget,method,n_selected,yield,yield_ci_low,yield_ci_high,bad_tests,bad_tests_ci_low,bad_tests_ci_high,bad_tests_avoided_vs_random,saved_sec_cost1,saved_sec_cost3600,saved_sec_cost86400
0.001,random,10,0.9013333333333332,0.8906610554335398,0.9120056112331266,0.9866666666666667,0.8799438876687321,1.0933894456646014,0.0,0.0,0.0,0.0
0.001,m18,10,0.8,,,2,,,-1.0133333333333332,-1.0133333333333332,-3647.9999999999995,-87551.99999999999
0.001,m21,10,1.0,,,0,,,0.9866666666666667,0.9866666666666667,3552.0,85248.0
0.001,m22,10,1.0,,,0,,,0.9866666666666667,0.9866666666666667,3552.0,85248.0
0.002,random,19,0.8987719298245614,0.8910299206885399,0.906513938960583,1.9233333333333333,1.7762351597489234,2.0704315069177435,0.0,0.0,0.0,0.0
0.002,m18,19,0.8421052631578947,,,3,,,-1.0766666666666667,-1.0766666666666667,-3876.0,-93024.0
0.002,m21,19,1.0,,,0,,,1.9233333333333333,1.9233333333333333,6924.0,166176.0
0.002,m22,19,1.0,,,0,,,1.9233333333333333,1.9233333333333333,6924.0,166176.0
0.005,random,48,0.9004861111111112,0.8954952331161967,0.9054769891060257,4.776666666666666,4.537104522910768,5.0162288104225645,0.0,0.0,0.0,0.0
0.005,m18,48,0.9166666666666666,,,4,,,0.7766666666666664,0.7766666666666664,2795.999999999999,67103.99999999997
0.005,m21,48,1.0,,,0,,,4.776666666666666,4.776666666666666,17196.0,412704.0
0.005,m22,48,1.0,,,0,,,4.776666666666666,4.776666666666666,17196.0,412704.0
0.01,random,96,0.9001041666666667,0.8966211441002777,0.9035871892330557,9.59,9.25562983362666,9.92437016637334,0.0,0.0,0.0,0.0
0.01,m18,96,0.90625,,,9,,,0.5899999999999999,0.5899999999999999,2123.9999999999995,50975.999999999985
0.01,m21,96,1.0,,,0,,,9.59,9.59,34524.0,828576.0
0.01,m22,96,1.0,,,0,,,9.59,9.59,34524.0,828576.0
0.02,random,192,0.8974305555555554,0.8948509575160022,0.9000101535951086,19.69333333333333,19.19805050973912,20.188616156927544,0.0,0.0,0.0,0.0
0.02,m18,192,0.8854166666666666,,,22,,,-2.3066666666666684,-2.3066666666666684,-8304.000000000005,-199296.00000000015
0.02,m21,192,1.0,,,0,,,19.69333333333333,19.69333333333333,70896.0,1701503.9999999998
0.02,m22,192,1.0,,,0,,,19.69333333333333,19.69333333333333,70896.0,1701503.9999999998
0.05,random,480,0.8980416666666667,0.8965733241000793,0.8995100092332542,48.94,48.23519556803801,49.64480443196199,0.0,0.0,0.0,0.0
0.05,m18,480,0.88125,,,57,,,-8.060000000000002,-8.060000000000002,-29016.000000000007,-696384.0000000002
0.05,m21,480,1.0,,,0,,,48.94,48.94,176184.0,4228416.0
0.05,m22,480,1.0,,,0,,,48.94,48.94,176184.0,4228416.0
0.1,random,959,0.8997045533541884,0.8986621741039758,0.9007469326044011,96.18333333333334,95.18369163237936,97.18297503428731,0.0,0.0,0.0,0.0
0.1,m18,959,0.8915537017726799,,,104,,,-7.816666666666663,-7.816666666666663,-28139.999999999985,-675359.9999999997
0.1,m21,959,1.0,,,0,,,96.18333333333334,96.18333333333334,346260.0,8310240.0
0.1,m22,959,1.0,,,0,,,96.18333333333334,96.18333333333334,346260.0,8310240.0
0.2,random,1918,0.8990198123044839,0.8983138686096015,0.8997257559993663,193.68,192.32599999321553,195.03400000678448,0.0,0.0,0.0,0.0
0.2,m18,1918,0.8952033368091762,,,201,,,-7.319999999999993,-7.319999999999993,-26351.999999999975,-632447.9999999994
0.2,m21,1918,1.0,,,0,,,193.68,193.68,697248.0,16733952.0
0.2,m22,1918,1.0,,,0,,,193.68,193.68,697248.0,16733952.0
0.5,random,4796,0.898723936613845,0.8983596666776142,0.8990882065500757,485.72,483.97296138583727,487.4670386141628,0.0,0.0,0.0,0.0
0.5,m18,4796,0.9149291075896581,,,408,,,77.72000000000003,77.72000000000003,279792.0000000001,6715008.000000003
0.5,m21,4796,1.0,,,0,,,485.72,485.72,1748592.0,41966208.0
0.5,m22,4796,1.0,,,0,,,485.72,485.72,1748592.0,41966208.0
