p,method_rank_M18,killed_Q0,hazard,rank_M22,survive_Q1
15619,1475,0,0.0,1,1
18637,1762,0,0.0,2,1
19867,1872,0,0.0,3,1
19891,1874,0,0.0,4,1
20707,1951,0,0.0,5,1
21467,2018,0,0.0,6,1
21787,2054,0,0.0,7,1
22441,2115,0,0.0,8,1
23369,2205,0,0.0,9,1
23599,2224,0,0.0,10,1
24593,2320,0,0.0,11,1
25589,2408,0,0.0,12,1
25873,2434,0,0.0,13,1
26171,2461,0,0.0,14,1
26449,2491,0,0.0,15,1
26497,2494,0,0.0,16,1
26903,2534,0,0.0,17,1
27011,2544,0,0.0,18,1
27653,2595,0,0.0,19,1
27847,2618,0,0.0,20,1
27961,2629,0,0.0,21,1
28027,2633,0,0.0,22,1
28097,2640,0,0.0,23,1
28387,2663,0,0.0,24,1
28393,2664,0,0.0,25,1
28607,2685,0,0.0,26,1
28657,2691,0,0.0,27,1
30097,2817,0,0.0,28,1
30109,2819,0,0.0,29,1
30161,2825,0,0.0,30,1
30259,2835,0,0.0,31,1
30347,2843,0,0.0,32,1
30391,2846,0,0.0,33,1
30497,2855,0,0.0,34,1
30881,2891,0,0.0,35,1
31247,2924,0,0.0,36,1
31601,2956,0,0.0,37,1
31667,2963,0,0.0,38,1
31957,2982,0,0.0,39,1
31973,2984,0,0.0,40,1
31991,2986,0,0.0,41,1
32009,2987,0,0.0,42,1
32069,2994,0,0.0,43,1
32117,2999,0,0.0,44,1
32467,3036,0,0.0,45,1
32491,3038,0,0.0,46,1
32503,3040,0,0.0,47,1
33343,3115,0,0.0,48,1
33461,3127,0,0.0,49,1
33533,3134,0,0.0,50,1
33581,3139,0,0.0,51,1
33613,3144,0,0.0,52,1
33749,3156,0,0.0,53,1
33811,3165,0,0.0,54,1
33863,3170,0,0.0,55,1
33889,3172,0,0.0,56,1
33941,3178,0,0.0,57,1
33997,3181,0,0.0,58,1
34057,3186,0,0.0,59,1
34127,3189,0,0.0,60,1
34231,3200,0,0.0,61,1
34259,3202,0,0.0,62,1
34511,3227,0,0.0,63,1
34721,3247,0,0.0,64,1
34939,3266,0,0.0,65,1
35027,3272,0,0.0,66,1
35141,3283,0,0.0,67,1
35153,3285,0,0.0,68,1
35279,3294,0,0.0,69,1
35323,3298,0,0.0,70,1
35573,3323,0,0.0,71,1
35729,3331,0,0.0,72,1
35731,3332,0,0.0,73,1
35851,3343,0,0.0,74,1
35951,3352,0,0.0,75,1
35969,3354,0,0.0,76,1
36013,3360,0,0.0,77,1
36037,3362,0,0.0,78,1
36107,3367,0,0.0,79,1
36493,3397,0,0.0,80,1
36527,3400,0,0.0,81,1
36551,3403,0,0.0,82,1
36583,3406,0,0.0,83,1
36607,3409,0,0.0,84,1
36643,3412,0,0.0,85,1
36671,3414,0,0.0,86,1
36683,3416,0,0.0,87,1
36761,3424,0,0.0,88,1
36787,3428,0,0.0,89,1
36821,3431,0,0.0,90,1
36857,3434,0,0.0,91,1
36901,3439,0,0.0,92,1
37189,3464,0,0.0,93,1
37243,3469,0,0.0,94,1
37357,3479,0,0.0,95,1
37489,3490,0,0.0,96,1
37501,3492,0,0.0,97,1
37547,3498,0,0.0,98,1
37567,3501,0,0.0,99,1
37799,3520,0,0.0,100,1
37811,3521,0,0.0,101,1
37847,3524,0,0.0,102,1
37853,3525,0,0.0,103,1
37997,3537,0,0.0,104,1
38083,3542,0,0.0,105,1
38197,3550,0,0.0,106,1
38261,3555,0,0.0,107,1
38333,3564,0,0.0,108,1
38669,3587,0,0.0,109,1
38693,3590,0,0.0,110,1
38699,3591,0,0.0,111,1
38711,3593,0,0.0,112,1
38921,3612,0,0.0,113,1
38993,3619,0,0.0,114,1
39097,3627,0,0.0,115,1
39191,3638,0,0.0,116,1
39251,3646,0,0.0,117,1
39323,3651,0,0.0,118,1
39371,3656,0,0.0,119,1
39439,3661,0,0.0,120,1
39499,3664,0,0.0,121,1
39541,3669,0,0.0,122,1
39569,3671,0,0.0,123,1
