p,method_rank_M18,killed_Q0,hazard,rank_M22,survive_Q1
11827,1183,0,0.0,1,1
12653,1271,0,0.0,2,1
12919,1295,0,0.0,3,1
13259,1330,0,0.0,4,1
13469,1349,0,0.0,5,1
13781,1380,0,0.0,6,1
14251,1423,0,0.0,7,1
14797,1479,0,0.0,8,1
14887,1487,0,0.0,9,1
14947,1492,0,0.0,10,1
15077,1503,0,0.0,11,1
15271,1525,0,0.0,12,1
15277,1526,0,0.0,13,1
15643,1566,0,0.0,14,1
15749,1579,0,0.0,15,1
16057,1605,0,0.0,16,1
16087,1611,0,0.0,17,1
16103,1613,0,0.0,18,1
16223,1623,0,0.0,19,1
16253,1627,0,0.0,20,1
16493,1650,0,0.0,21,1
16547,1653,0,0.0,22,1
17021,1696,0,0.0,23,1
17191,1712,0,0.0,24,1
17209,1715,0,0.0,25,1
17377,1727,0,0.0,26,1
17393,1731,0,0.0,27,1
17483,1741,0,0.0,28,1
17489,1742,0,0.0,29,1
17597,1752,0,0.0,30,1
17627,1756,0,0.0,31,1
17747,1766,0,0.0,32,1
17789,1770,0,0.0,33,1
17929,1785,0,0.0,34,1
17957,1786,0,0.0,35,1
18061,1799,0,0.0,36,1
18329,1827,0,0.0,37,1
18587,1852,0,0.0,38,1
18593,1853,0,0.0,39,1
18637,1855,0,0.0,40,1
18661,1856,0,0.0,41,1
18691,1859,0,0.0,42,1
18773,1866,0,0.0,43,1
19051,1886,0,0.0,44,1
19121,1892,0,0.0,45,1
19403,1916,0,0.0,46,1
19433,1922,0,0.0,47,1
19501,1932,0,0.0,48,1
19661,1944,0,0.0,49,1
19697,1947,0,0.0,50,1
19717,1950,0,0.0,51,1
19777,1956,0,0.0,52,1
19793,1957,0,0.0,53,1
19813,1959,0,0.0,54,1
19819,1960,0,0.0,55,1
19867,1965,0,0.0,56,1
19891,1967,0,0.0,57,1
20357,2014,0,0.0,58,1
20441,2022,0,0.0,59,1
20477,2024,0,0.0,60,1
20533,2030,0,0.0,61,1
20627,2038,0,0.0,62,1
20707,2044,0,0.0,63,1
21101,2079,0,0.0,64,1
21211,2091,0,0.0,65,1
21247,2094,0,0.0,66,1
21319,2100,0,0.0,67,1
21397,2107,0,0.0,68,1
21467,2111,0,0.0,69,1
21559,2123,0,0.0,70,1
21599,2129,0,0.0,71,1
21617,2132,0,0.0,72,1
21851,2153,0,0.0,73,1
21911,2159,0,0.0,74,1
21943,2162,0,0.0,75,1
22027,2169,0,0.0,76,1
22031,2170,0,0.0,77,1
22133,2183,0,0.0,78,1
22153,2185,0,0.0,79,1
22193,2190,0,0.0,80,1
22247,2192,0,0.0,81,1
22367,2201,0,0.0,82,1
22397,2205,0,0.0,83,1
22441,2208,0,0.0,84,1
22573,2222,0,0.0,85,1
22691,2232,0,0.0,86,1
22697,2233,0,0.0,87,1
22783,2243,0,0.0,88,1
22877,2252,0,0.0,89,1
23021,2264,0,0.0,90,1
23057,2270,0,0.0,91,1
23063,2272,0,0.0,92,1
23251,2288,0,0.0,93,1
23327,2295,0,0.0,94,1
23369,2298,0,0.0,95,1
23539,2309,0,0.0,96,1
23561,2312,0,0.0,97,1
23609,2318,0,0.0,98,1
23629,2321,0,0.0,99,1
23633,2322,0,0.0,100,1
23671,2325,0,0.0,101,1
23719,2329,0,0.0,102,1
23753,2333,0,0.0,103,1
23767,2335,0,0.0,104,1
23893,2348,0,0.0,105,1
24103,2372,0,0.0,106,1
24107,2373,0,0.0,107,1
24229,2385,0,0.0,108,1
24371,2393,0,0.0,109,1
24407,2397,0,0.0,110,1
24593,2413,0,0.0,111,1
24749,2423,0,0.0,112,1
24809,2429,0,0.0,113,1
24907,2437,0,0.0,114,1
24977,2444,0,0.0,115,1
25013,2447,0,0.0,116,1
25031,2448,0,0.0,117,1
25121,2457,0,0.0,118,1
25189,2465,0,0.0,119,1
25253,2471,0,0.0,120,1
25309,2476,0,0.0,121,1
