p,killed_Q0,killed_Q1,survive_Q1,hazard_binary,hazard_count,hazard_harmonic,rank_binary,rank_count,rank_harmonic
9181,0,0,1,0.0,0.0,0.0,1,1,1
9931,0,0,1,0.0,0.0,0.0,2,2,2
10177,0,0,1,0.0,0.0,0.0,3,3,3
10369,0,0,1,0.0,0.0,0.0,4,4,4
11863,0,0,1,0.0,0.0,0.0,5,5,5
12491,0,0,1,0.0,0.0,0.0,6,6,6
12821,0,0,1,0.0,0.0,0.0,7,7,7
12889,0,0,1,0.0,0.0,0.0,8,8,8
13513,0,0,1,0.0,0.0,0.0,9,9,9
13967,0,0,1,0.0,0.0,0.0,10,10,10
14243,0,0,1,0.0,0.0,0.0,11,11,11
14323,0,0,1,0.0,0.0,0.0,12,12,12
14341,0,0,1,0.0,0.0,0.0,13,13,13
14543,0,0,1,0.0,0.0,0.0,14,14,14
14869,0,0,1,0.0,0.0,0.0,15,15,15
15017,0,0,1,0.0,0.0,0.0,16,16,16
15269,0,0,1,0.0,0.0,0.0,17,17,17
15331,0,0,1,0.0,0.0,0.0,18,18,18
15361,0,0,1,0.0,0.0,0.0,19,19,19
15619,0,0,1,0.0,0.0,0.0,20,20,20
15649,0,0,1,0.0,0.0,0.0,21,21,21
15787,0,0,1,0.0,0.0,0.0,22,22,22
15817,0,0,1,0.0,0.0,0.0,23,23,23
15877,0,0,1,0.0,0.0,0.0,24,24,24
15889,0,0,1,0.0,0.0,0.0,25,25,25
15907,0,0,1,0.0,0.0,0.0,26,26,26
16103,0,0,1,0.0,0.0,0.0,27,27,27
16253,0,0,1,0.0,0.0,0.0,28,28,28
16411,0,0,1,0.0,0.0,0.0,29,29,29
16493,0,0,1,0.0,0.0,0.0,30,30,30
16661,0,0,1,0.0,0.0,0.0,31,31,31
16759,0,0,1,0.0,0.0,0.0,32,32,32
16979,0,0,1,0.0,0.0,0.0,33,33,33
17021,0,0,1,0.0,0.0,0.0,34,34,34
17209,0,0,1,0.0,0.0,0.0,35,35,35
17623,0,0,1,0.0,0.0,0.0,36,36,36
17747,0,0,1,0.0,0.0,0.0,37,37,37
17923,0,0,1,0.0,0.0,0.0,38,38,38
17981,0,0,1,0.0,0.0,0.0,39,39,39
17989,0,0,1,0.0,0.0,0.0,40,40,40
18341,0,0,1,0.0,0.0,0.0,41,41,41
18503,0,0,1,0.0,0.0,0.0,42,42,42
18587,0,0,1,0.0,0.0,0.0,43,43,43
18617,0,0,1,0.0,0.0,0.0,44,44,44
18637,0,0,1,0.0,0.0,0.0,45,45,45
18691,0,0,1,0.0,0.0,0.0,46,46,46
18773,0,0,1,0.0,0.0,0.0,47,47,47
18859,0,0,1,0.0,0.0,0.0,48,48,48
19073,0,0,1,0.0,0.0,0.0,49,49,49
19231,0,0,1,0.0,0.0,0.0,50,50,50
19309,0,0,1,0.0,0.0,0.0,51,51,51
19379,0,0,1,0.0,0.0,0.0,52,52,52
19433,0,0,1,0.0,0.0,0.0,53,53,53
19739,0,0,1,0.0,0.0,0.0,54,54,54
19759,0,0,1,0.0,0.0,0.0,55,55,55
19853,0,0,1,0.0,0.0,0.0,56,56,56
19867,0,0,1,0.0,0.0,0.0,57,57,57
19891,0,0,1,0.0,0.0,0.0,58,58,58
20089,0,0,1,0.0,0.0,0.0,59,59,59
20147,0,0,1,0.0,0.0,0.0,60,60,60
20269,0,0,1,0.0,0.0,0.0,61,61,61
20327,0,0,1,0.0,0.0,0.0,62,62,62
20407,0,0,1,0.0,0.0,0.0,63,63,63
20477,0,0,1,0.0,0.0,0.0,64,64,64
20543,0,0,1,0.0,0.0,0.0,65,65,65
20611,0,0,1,0.0,0.0,0.0,66,66,66
20627,0,0,1,0.0,0.0,0.0,67,67,67
20641,0,0,1,0.0,0.0,0.0,68,68,68
20707,0,0,1,0.0,0.0,0.0,69,69,69
20773,0,0,1,0.0,0.0,0.0,70,70,70
20903,0,0,1,0.0,0.0,0.0,71,71,71
20929,0,0,1,0.0,0.0,0.0,72,72,72
21001,0,0,1,0.0,0.0,0.0,73,73,73
21059,0,0,1,0.0,0.0,0.0,74,74,74
21101,0,0,1,0.0,0.0,0.0,75,75,75
21169,0,0,1,0.0,0.0,0.0,76,76,76
21247,0,0,1,0.0,0.0,0.0,77,77,77
21377,0,0,1,0.0,0.0,0.0,78,78,78
21401,0,0,1,0.0,0.0,0.0,79,79,79
21467,0,0,1,0.0,0.0,0.0,80,80,80
21499,0,0,1,0.0,0.0,0.0,81,81,81
21529,0,0,1,0.0,0.0,0.0,82,82,82
21599,0,0,1,0.0,0.0,0.0,83,83,83
21673,0,0,1,0.0,0.0,0.0,84,84,84
21701,0,0,1,0.0,0.0,0.0,85,85,85
21757,0,0,1,0.0,0.0,0.0,86,86,86
21787,0,0,1,0.0,0.0,0.0,87,87,87
21817,0,0,1,0.0,0.0,0.0,88,88,88
21851,0,0,1,0.0,0.0,0.0,89,89,89
21881,0,0,1,0.0,0.0,0.0,90,90,90
21977,0,0,1,0.0,0.0,0.0,91,91,91
22027,0,0,1,0.0,0.0,0.0,92,92,92
22109,0,0,1,0.0,0.0,0.0,93,93,93
22247,0,0,1,0.0,0.0,0.0,94,94,94
22283,0,0,1,0.0,0.0,0.0,95,95,95
22367,0,0,1,0.0,0.0,0.0,96,96,96
22441,0,0,1,0.0,0.0,0.0,97,97,97
22541,0,0,1,0.0,0.0,0.0,98,98,98
22573,0,0,1,0.0,0.0,0.0,99,99,99
22619,0,0,1,0.0,0.0,0.0,100,100,100
22643,0,0,1,0.0,0.0,0.0,101,101,101
22669,0,0,1,0.0,0.0,0.0,102,102,102
22859,0,0,1,0.0,0.0,0.0,103,103,103
22861,0,0,1,0.0,0.0,0.0,104,104,104
22877,0,0,1,0.0,0.0,0.0,105,105,105
22907,0,0,1,0.0,0.0,0.0,106,106,106
22961,0,0,1,0.0,0.0,0.0,107,107,107
22973,0,0,1,0.0,0.0,0.0,108,108,108
23117,0,0,1,0.0,0.0,0.0,109,109,109
23201,0,0,1,0.0,0.0,0.0,110,110,110
23251,0,0,1,0.0,0.0,0.0,111,111,111
23369,0,0,1,0.0,0.0,0.0,112,112,112
23447,0,0,1,0.0,0.0,0.0,113,113,113
23557,0,0,1,0.0,0.0,0.0,114,114,114
23567,0,0,1,0.0,0.0,0.0,115,115,115
23599,0,0,1,0.0,0.0,0.0,116,116,116
23663,0,0,1,0.0,0.0,0.0,117,117,117
23677,0,0,1,0.0,0.0,0.0,118,118,118
23687,0,0,1,0.0,0.0,0.0,119,119,119
23753,0,0,1,0.0,0.0,0.0,120,120,120
23869,0,0,1,0.0,0.0,0.0,121,121,121
23893,0,0,1,0.0,0.0,0.0,122,122,122
23911,0,0,1,0.0,0.0,0.0,123,123,123
23981,0,0,1,0.0,0.0,0.0,124,124,124
24071,0,0,1,0.0,0.0,0.0,125,125,125
24121,0,0,1,0.0,0.0,0.0,126,126,126
24229,0,0,1,0.0,0.0,0.0,127,127,127
24251,0,0,1,0.0,0.0,0.0,128,128,128
24379,0,0,1,0.0,0.0,0.0,129,129,129
24407,0,0,1,0.0,0.0,0.0,130,130,130
24469,0,0,1,0.0,0.0,0.0,131,131,131
24517,0,0,1,0.0,0.0,0.0,132,132,132
24533,0,0,1,0.0,0.0,0.0,133,133,133
24593,0,0,1,0.0,0.0,0.0,134,134,134
24623,0,0,1,0.0,0.0,0.0,135,135,135
24631,0,0,1,0.0,0.0,0.0,136,136,136
24691,0,0,1,0.0,0.0,0.0,137,137,137
24697,0,0,1,0.0,0.0,0.0,138,138,138
24709,0,0,1,0.0,0.0,0.0,139,139,139
24781,0,0,1,0.0,0.0,0.0,140,140,140
24923,0,0,1,0.0,0.0,0.0,141,141,141
24943,0,0,1,0.0,0.0,0.0,142,142,142
24977,0,0,1,0.0,0.0,0.0,143,143,143
24979,0,0,1,0.0,0.0,0.0,144,144,144
25033,0,0,1,0.0,0.0,0.0,145,145,145
25111,0,0,1,0.0,0.0,0.0,146,146,146
25117,0,0,1,0.0,0.0,0.0,147,147,147
25127,0,0,1,0.0,0.0,0.0,148,148,148
25171,0,0,1,0.0,0.0,0.0,149,149,149
25189,0,0,1,0.0,0.0,0.0,150,150,150
25339,0,0,1,0.0,0.0,0.0,151,151,151
25349,0,0,1,0.0,0.0,0.0,152,152,152
25357,0,0,1,0.0,0.0,0.0,153,153,153
25423,0,0,1,0.0,0.0,0.0,154,154,154
25471,0,0,1,0.0,0.0,0.0,155,155,155
25561,0,0,1,0.0,0.0,0.0,156,156,156
25579,0,0,1,0.0,0.0,0.0,157,157,157
25589,0,0,1,0.0,0.0,0.0,158,158,158
25633,0,0,1,0.0,0.0,0.0,159,159,159
25667,0,0,1,0.0,0.0,0.0,160,160,160
25867,0,0,1,0.0,0.0,0.0,161,161,161
25873,0,0,1,0.0,0.0,0.0,162,162,162
25931,0,0,1,0.0,0.0,0.0,163,163,163
25939,0,0,1,0.0,0.0,0.0,164,164,164
25969,0,0,1,0.0,0.0,0.0,165,165,165
26003,0,0,1,0.0,0.0,0.0,166,166,166
26017,0,0,1,0.0,0.0,0.0,167,167,167
26083,0,0,1,0.0,0.0,0.0,168,168,168
26141,0,0,1,0.0,0.0,0.0,169,169,169
26171,0,0,1,0.0,0.0,0.0,170,170,170
26263,0,0,1,0.0,0.0,0.0,171,171,171
26293,0,0,1,0.0,0.0,0.0,172,172,172
26371,0,0,1,0.0,0.0,0.0,173,173,173
26417,0,0,1,0.0,0.0,0.0,174,174,174
26423,0,0,1,0.0,0.0,0.0,175,175,175
26437,0,0,1,0.0,0.0,0.0,176,176,176
26449,0,0,1,0.0,0.0,0.0,177,177,177
26497,0,0,1,0.0,0.0,0.0,178,178,178
26501,0,0,1,0.0,0.0,0.0,179,179,179
