tf_bits,budget_fraction,prp_cost_hours,saved_compute_seconds
64,0.005,1.0,-5736.975349766822
64,0.005,24.0,-137687.40839440373
64,0.005,168.0,-963811.8587608262
64,0.01,1.0,-10756.82878081279
64,0.01,24.0,-258163.89073950698
64,0.01,168.0,-1807147.2351765488
64,0.02,1.0,86.34243837441846
64,0.02,24.0,2072.218520986043
64,0.02,168.0,14505.529646902301
64,0.05,1.0,-10584.143904063956
64,0.05,24.0,-254019.45369753498
64,0.05,168.0,-1778136.1758827446
64,0.1,1.0,-28368.287808127912
64,0.1,24.0,-680838.90739507
64,0.1,168.0,-4765872.351765489
68,0.005,1.0,-4295.652173913043
68,0.005,24.0,-103095.65217391304
68,0.005,168.0,-721669.5652173914
68,0.01,1.0,-1391.304347826087
68,0.01,24.0,-33391.30434782609
68,0.01,168.0,-233739.13043478262
68,0.02,1.0,203.72670807453622
68,0.02,24.0,4889.4409937888695
68,0.02,168.0,34226.086956522086
68,0.05,1.0,6216.149068322984
68,0.05,24.0,149187.57763975163
68,0.05,168.0,1044313.0434782612
68,0.1,1.0,-16981.366459627327
68,0.1,24.0,-407552.7950310558
68,0.1,168.0,-2852869.5652173907
72,0.005,1.0,-3282.199710564399
72,0.005,24.0,-78772.79305354558
72,0.005,168.0,-551409.5513748191
72,0.01,1.0,4235.600578871201
72,0.01,24.0,101654.41389290881
72,0.01,168.0,711580.8972503617
72,0.02,1.0,4871.201157742403
72,0.02,24.0,116908.82778581767
72,0.02,168.0,818361.7945007236
72,0.05,1.0,39646.88856729378
72,0.05,24.0,951525.3256150507
72,0.05,168.0,6660677.279305356
72,0.1,1.0,39693.77713458755
72,0.1,24.0,952650.6512301012
72,0.1,168.0,6668554.558610709
76,0.005,1.0,4964.67020470053
76,0.005,24.0,119152.08491281273
76,0.005,168.0,834064.5943896892
76,0.01,1.0,6648.673237300986
76,0.01,24.0,159568.15769522366
76,0.01,168.0,1116977.1038665657
76,0.02,1.0,2497.3464746019713
76,0.02,24.0,59936.31539044731
76,0.02,168.0,419554.2077331312
76,0.05,1.0,-3075.9666413949967
76,0.05,24.0,-73823.19939347991
76,0.05,168.0,-516762.3957543594
76,0.1,1.0,-16951.933282789993
76,0.1,24.0,-406846.3987869598
76,0.1,168.0,-2847924.791508719
