p_range,tf_q_limit,budget_fraction,prp_cost_hours,saved_compute_seconds_mean,saved_compute_seconds_ci_low,saved_compute_seconds_ci_high
100000-120000,1000000,0.01,1.0,11201.311475409837,-3729.8360655737706,17668.327868852448
100000-120000,1000000,0.01,24.0,268831.4754098361,-89516.0655737705,424039.86885245884
100000-120000,1000000,0.01,168.0,1881820.3278688528,-626612.4590163934,2968279.081967212
100000-120000,1000000,0.05,1.0,4851.1475409836075,-13994.950819672129,26373.245901639333
100000-120000,1000000,0.05,24.0,116427.5409836066,-335878.8196721311,632957.9016393439
100000-120000,1000000,0.05,168.0,814992.7868852462,-2351151.737704918,4430705.311475408
100000-120000,2000000,0.01,1.0,7956.610169491525,-3652.4745762711864,14994.61016949152
100000-120000,2000000,0.01,24.0,190958.6440677966,-87659.38983050847,359870.6440677965
100000-120000,2000000,0.01,168.0,1336710.508474576,-613615.7288135593,2519094.5084745754
100000-120000,2000000,0.05,1.0,11698.983050847453,-8459.49152542373,28255.728813559315
100000-120000,2000000,0.05,24.0,280775.59322033887,-203027.79661016952,678137.4915254236
100000-120000,2000000,0.05,168.0,1965429.152542372,-1421194.5762711866,4746962.440677965
100000-120000,5000000,0.01,1.0,2468.085106382979,-4412.765957446808,16783.82978723404
100000-120000,5000000,0.01,24.0,59234.042553191495,-105906.3829787234,402811.91489361704
100000-120000,5000000,0.01,168.0,414638.2978723405,-741344.6808510638,2819683.404255319
100000-120000,5000000,0.05,1.0,-10442.55319148936,-14302.978723404254,20621.489361702126
100000-120000,5000000,0.05,24.0,-250621.27659574465,-343271.4893617021,494915.74468085106
100000-120000,5000000,0.05,168.0,-1754348.9361702127,-2402900.425531915,3464410.212765957
100000-120000,10000000,0.01,1.0,-3164.4444444444443,-3538.6666666666665,8028.4444444444425
100000-120000,10000000,0.01,24.0,-75946.66666666666,-84928.0,192682.6666666666
100000-120000,10000000,0.01,168.0,-531626.6666666666,-594496.0,1348778.6666666665
100000-120000,10000000,0.05,1.0,5777.777777777778,-9981.111111111111,19894.44444444444
100000-120000,10000000,0.05,24.0,138666.66666666666,-239546.6666666667,477466.6666666665
100000-120000,10000000,0.05,168.0,970666.6666666666,-1676826.666666667,3342266.6666666656
200000-220000,1000000,0.01,1.0,2604.5016077170408,-8369.131832797428,9735.048231511253
200000-220000,1000000,0.01,24.0,62508.03858520899,-200859.16398713828,233641.15755627007
200000-220000,1000000,0.01,168.0,437556.2700964629,-1406014.147909968,1635488.1028938906
200000-220000,1000000,0.05,1.0,-3198.7138263665597,-25329.93569131833,17853.472668810282
200000-220000,1000000,0.05,24.0,-76769.13183279743,-607918.4565916399,428483.34405144677
200000-220000,1000000,0.05,168.0,-537383.922829582,-4255429.196141479,2999383.4083601274
200000-220000,2000000,0.01,1.0,1398.648648648648,-6185.371621621622,8727.263513513513
200000-220000,2000000,0.01,24.0,33567.56756756755,-148448.9189189189,209454.3243243243
200000-220000,2000000,0.01,168.0,234972.97297297287,-1039142.4324324323,1466180.27027027
200000-220000,2000000,0.05,1.0,4037.837837837839,-15227.83783783784,16917.972972972962
200000-220000,2000000,0.05,24.0,96908.10810810814,-365468.10810810816,406031.35135135107
200000-220000,2000000,0.05,168.0,678356.7567567569,-2558276.7567567574,2842219.459459457
200000-220000,5000000,0.01,1.0,1975.971731448763,-2234.6289752650177,13389.964664310952
200000-220000,5000000,0.01,24.0,47423.32155477031,-53631.09540636042,321359.15194346284
200000-220000,5000000,0.01,168.0,331963.2508833922,-375417.667844523,2249514.06360424
200000-220000,5000000,0.05,1.0,4973.851590106004,-4194.063604240284,33239.57597173145
200000-220000,5000000,0.05,24.0,119372.43816254407,-100657.52650176683,797749.8233215547
200000-220000,5000000,0.05,168.0,835607.0671378085,-704602.6855123678,5584248.763250883
200000-220000,10000000,0.01,1.0,105.88235294117649,-4042.0588235294117,7112.647058823529
200000-220000,10000000,0.01,24.0,2541.176470588236,-97009.41176470587,170703.5294117647
200000-220000,10000000,0.01,168.0,17788.23529411765,-679065.8823529412,1194924.705882353
200000-220000,10000000,0.05,1.0,-3507.3529411764703,-14307.352941176468,12443.713235294104
200000-220000,10000000,0.05,24.0,-84176.47058823529,-343376.47058823524,298649.11764705856
200000-220000,10000000,0.05,168.0,-589235.294117647,-2403635.2941176468,2090543.8235294097
