p_range,tf_q_limit,budget_fraction,prp_cost_hours,saved_compute_seconds_mean,saved_compute_seconds_ci_low,saved_compute_seconds_ci_high
100000-220000,1000000,0.01,1.0,26439.805825242733,-12090.218446601928,69046.18932038837
100000-220000,1000000,0.01,24.0,634555.3398058256,-290165.2427184463,1657108.5436893206
100000-220000,1000000,0.01,168.0,4441887.378640779,-2031156.699029124,11599759.805825245
100000-220000,1000000,0.05,1.0,108899.99999999994,30586.50000000004,204160.50000000006
100000-220000,1000000,0.05,24.0,2613599.999999998,734076.0000000009,4899852.000000001
100000-220000,1000000,0.05,168.0,18295199.99999999,5138532.0000000065,34298964.00000001
100000-220000,2000000,0.01,1.0,-10400.882852292018,-43921.482173174874,30465.764006791167
100000-220000,2000000,0.01,24.0,-249621.18845500844,-1054115.572156197,731178.3361629881
100000-220000,2000000,0.01,168.0,-1747348.319185059,-7378809.005093379,5118248.353140917
100000-220000,2000000,0.05,1.0,-22494.804753820044,-114875.11375212223,37333.650254668864
100000-220000,2000000,0.05,24.0,-539875.3140916812,-2757002.7300509335,896007.6061120528
100000-220000,2000000,0.05,168.0,-3779127.1986417677,-19299019.110356532,6272053.24278437
100000-220000,5000000,0.01,1.0,-13461.688466111764,-25134.656361474426,39029.22235434007
100000-220000,5000000,0.01,24.0,-323080.5231866823,-603231.7526753863,936701.3365041616
100000-220000,5000000,0.01,168.0,-2261563.6623067763,-4222622.268727704,6556909.355529131
100000-220000,5000000,0.05,1.0,11340.000000000053,-51660.0,98856.0
100000-220000,5000000,0.05,24.0,272160.0000000013,-1239840.0,2372543.9999999995
100000-220000,5000000,0.05,168.0,1905120.0000000088,-8678879.999999998,16607807.999999998
100000-220000,10000000,0.01,1.0,1044.0000000000014,-25372.8,29340.900000000005
100000-220000,10000000,0.01,24.0,25056.000000000033,-608947.2,704181.6000000002
100000-220000,10000000,0.01,168.0,175392.00000000023,-4262630.399999999,4929271.200000001
100000-220000,10000000,0.05,1.0,1620.000000000016,-48789.000000000015,79573.49999999997
100000-220000,10000000,0.05,24.0,38880.00000000038,-1170936.0000000005,1909763.9999999998
100000-220000,10000000,0.05,168.0,272160.0000000026,-8196552.000000002,13368347.999999996
300000-420000,1000000,0.01,1.0,52189.12751677854,-16002.16107382551,67526.07382550332
300000-420000,1000000,0.01,24.0,1252539.060402685,-384051.86577181227,1620625.7718120797
300000-420000,1000000,0.01,168.0,8767773.422818795,-2688363.060402686,11344380.402684556
300000-420000,1000000,0.05,1.0,38519.99999999999,-48248.99999999999,131579.99999999988
300000-420000,1000000,0.05,24.0,924479.9999999999,-1157975.9999999998,3157919.999999997
300000-420000,1000000,0.05,168.0,6471359.999999999,-8105831.999999999,22105439.99999998
300000-420000,2000000,0.01,1.0,1734.8223350253813,-36358.58375634518,38228.238578680175
300000-420000,2000000,0.01,24.0,41635.736040609154,-872606.0101522843,917477.7258883241
300000-420000,2000000,0.01,168.0,291450.15228426404,-6108242.07106599,6422344.081218269
300000-420000,2000000,0.05,1.0,-42468.62944162437,-88361.11675126902,64293.34010152282
300000-420000,2000000,0.05,24.0,-1019247.1065989849,-2120666.8020304563,1543040.1624365477
300000-420000,2000000,0.05,168.0,-7134729.746192894,-14844667.614213193,10801281.137055833
300000-420000,5000000,0.01,1.0,-8396.680697534579,-21483.99037883344,50117.13048707155
300000-420000,5000000,0.01,24.0,-201520.3367408299,-515615.76909200253,1202811.1316897173
300000-420000,5000000,0.01,168.0,-1410642.3571858092,-3609310.383644018,8419677.921828019
300000-420000,5000000,0.05,1.0,-10725.532170775688,-77547.01984365606,65252.07817197834
300000-420000,5000000,0.05,24.0,-257412.7720986165,-1861128.4762477456,1566049.8761274803
300000-420000,5000000,0.05,168.0,-1801889.4046903155,-13027899.33373422,10962349.13289236
300000-420000,10000000,0.01,1.0,14449.974874371854,-25357.663944723616,31773.126256281397
300000-420000,10000000,0.01,24.0,346799.39698492445,-608583.9346733667,762555.0301507537
300000-420000,10000000,0.01,168.0,2427595.7788944715,-4260087.542713567,5337885.211055275
300000-420000,10000000,0.05,1.0,25019.999999999985,-41589.00000000003,84978.0
300000-420000,10000000,0.05,24.0,600479.9999999997,-998136.0000000006,2039471.9999999998
300000-420000,10000000,0.05,168.0,4203359.999999997,-6986952.000000005,14276303.999999998
pooled,1000000,0.01,1.0,82206.52388797361,28409.683690280057,147198.29654036244
