p_range,seed,tf_q_limit,budget_fraction,prp_cost_hours,saved_compute_seconds
100000-220000,123,1000000,0.01,1.0,-283.49514563106965
100000-220000,123,1000000,0.01,24.0,-6803.883495145671
100000-220000,123,1000000,0.01,168.0,-47627.1844660197
100000-220000,123,1000000,0.05,1.0,-3471.8446601941746
100000-220000,123,1000000,0.05,24.0,-83324.2718446602
100000-220000,123,1000000,0.05,168.0,-583269.9029126214
100000-220000,456,1000000,0.01,1.0,5662.135922330095
100000-220000,456,1000000,0.01,24.0,135891.2621359223
100000-220000,456,1000000,0.01,168.0,951238.8349514559
100000-220000,456,1000000,0.05,1.0,22788.349514563106
100000-220000,456,1000000,0.05,24.0,546920.3883495146
100000-220000,456,1000000,0.05,168.0,3828442.7184466016
100000-220000,789,1000000,0.01,1.0,3021.35922330097
100000-220000,789,1000000,0.01,24.0,72512.62135922328
100000-220000,789,1000000,0.01,168.0,507588.349514563
100000-220000,789,1000000,0.05,1.0,-4916.504854368927
100000-220000,789,1000000,0.05,24.0,-117996.11650485425
100000-220000,789,1000000,0.05,168.0,-825972.8155339798
100000-220000,101112,1000000,0.01,1.0,5366.990291262135
100000-220000,101112,1000000,0.01,24.0,128807.76699029125
100000-220000,101112,1000000,0.01,168.0,901654.3689320387
100000-220000,101112,1000000,0.05,1.0,14143.689320388343
100000-220000,101112,1000000,0.05,24.0,339448.5436893202
100000-220000,101112,1000000,0.05,168.0,2376139.805825242
100000-220000,131415,1000000,0.01,1.0,-5912.621359223302
100000-220000,131415,1000000,0.01,24.0,-141902.91262135925
100000-220000,131415,1000000,0.01,168.0,-993320.3883495147
100000-220000,131415,1000000,0.05,1.0,-6203.883495145637
100000-220000,131415,1000000,0.05,24.0,-148893.20388349527
100000-220000,131415,1000000,0.05,168.0,-1042252.4271844671
100000-220000,161718,1000000,0.01,1.0,4038.83495145631
100000-220000,161718,1000000,0.01,24.0,96932.03883495144
100000-220000,161718,1000000,0.01,168.0,678524.27184466
100000-220000,161718,1000000,0.05,1.0,36442.718446601946
100000-220000,161718,1000000,0.05,24.0,874625.2427184468
100000-220000,161718,1000000,0.05,168.0,6122376.699029127
100000-220000,192021,1000000,0.01,1.0,-1427.1844660194183
100000-220000,192021,1000000,0.01,24.0,-34252.42718446604
100000-220000,192021,1000000,0.01,168.0,-239766.99029126228
100000-220000,192021,1000000,0.05,1.0,-1869.9029126213609
100000-220000,192021,1000000,0.05,24.0,-44877.66990291266
100000-220000,192021,1000000,0.05,168.0,-314143.6893203886
100000-220000,222324,1000000,0.01,1.0,12382.524271844659
100000-220000,222324,1000000,0.01,24.0,297180.5825242718
100000-220000,222324,1000000,0.01,168.0,2080264.0776699025
100000-220000,222324,1000000,0.05,1.0,-1159.223300970869
100000-220000,222324,1000000,0.05,24.0,-27821.359223300864
100000-220000,222324,1000000,0.05,168.0,-194749.51456310603
