Q,model,AUC,Brier,LogLoss,Spearman
1000000,baseline_fit10M,0.924346,0.060807,0.215317,0.514537
1000000,baseline_fit20M,0.928479,0.061187,0.219004,0.517468
1000000,multiscale_fit10M,0.932304,0.060942,0.216311,0.522837
1000000,multiscale_fit20M,0.933109,0.059962,0.212799,0.522568
2000000,baseline_fit10M,0.886165,0.095936,0.329818,0.518413
2000000,baseline_fit20M,0.888387,0.096570,0.335810,0.519307
2000000,multiscale_fit10M,0.893406,0.096305,0.331493,0.526773
2000000,multiscale_fit20M,0.892424,0.094428,0.319908,0.524212
5000000,baseline_fit10M,0.831052,0.137188,0.474599,0.483386
5000000,baseline_fit20M,0.831241,0.138026,0.482283,0.481723
5000000,multiscale_fit10M,0.830475,0.137718,0.477036,0.481301
5000000,multiscale_fit20M,0.831529,0.134913,0.454374,0.481689
10000000,baseline_fit10M,0.795568,0.168404,0.587270,0.452815
10000000,baseline_fit20M,0.795745,0.169325,0.594873,0.451270
10000000,multiscale_fit10M,0.796115,0.168859,0.587664,0.452485
10000000,multiscale_fit20M,0.796379,0.165509,0.559574,0.451812
20000000,baseline_fit10M,0.765209,0.195759,0.717621,0.420173
20000000,baseline_fit20M,0.768161,0.196556,0.694254,0.423147
20000000,multiscale_fit10M,0.765266,0.196172,0.716752,0.419180
20000000,multiscale_fit20M,0.767867,0.192141,0.651974,0.422287
50000000,baseline_fit10M,0.734323,0.230396,0.893336,0.384003
50000000,baseline_fit20M,0.736863,0.231184,0.824826,0.386610
50000000,multiscale_fit10M,0.733628,0.230806,0.889275,0.381878
50000000,multiscale_fit20M,0.736163,0.226102,0.773686,0.385106
