p,killed_Q0,ap_count_delta_1000000,ap_harm_delta_1000000,ap_count_delta_2000000,ap_harm_delta_2000000,ap_count_delta_5000000,ap_harm_delta_5000000,ap_count_delta_10000000,ap_harm_delta_10000000,ap_count_delta_20000000,ap_harm_delta_20000000,ap_count_delta_50000000,ap_harm_delta_50000000,survive_1000000,survive_2000000,survive_5000000,survive_10000000,survive_20000000,survive_50000000
2,1,17168,0.09052965765548202,34732,0.11496145320782832,84643,0.14559303733696963,163592,0.16753120496811863,315093,0.1885833198607673,747635,0.2151076895903108,0,0,0,0,0,0
3,1,17170,0.13577754892733035,34760,0.17246885523460545,84629,0.21838316313383951,163571,0.25129552032243824,315036,0.28286299626581374,747689,0.32265760481498923,0,0,0,0,0,0
5,1,8634,0.11393820446575155,17387,0.14433658381898717,42319,0.1826106197962645,81786,0.21002080255096053,157454,0.23631482844612933,373780,0.2694745450140238,0,0,0,0,0,0
7,1,5725,0.10546691278417143,11565,0.13393585433005886,28187,0.16968206728622795,54542,0.19533854847190985,105159,0.2199630648446146,249320,0.2508953833146148,0,0,0,0,0,0
11,1,3479,0.10126921633312269,6995,0.12809217303867165,16926,0.1615773585524375,32737,0.18573273862837156,63024,0.20887097685780032,149540,0.23807431576520838,0,0,0,0,0,0
13,1,2882,0.09871049408900502,5757,0.12460203585233284,14035,0.1576405139118977,27269,0.18156590944594747,52438,0.2043016097877209,124616,0.23307178439496412,0,0,0,0,0,0
17,0,2125,0.09639712502342823,4331,0.12248929018630209,10562,0.1549039944582898,20458,0.17826061699490597,39300,0.20051549860513196,93400,0.2287098198222423,0,0,0,0,0,0
19,0,1912,0.09574916041161988,3836,0.12123203168139822,9443,0.15397103781396973,18114,0.17686317720779327,34962,0.19910329286947528,82997,0.22708168768563558,0,0,0,0,0,0
23,1,1567,0.09576828159818827,3131,0.12057651296228414,7674,0.1527604216818829,14850,0.17566741154180288,28671,0.1977603804181936,68056,0.22554855724076286,0,0,0,0,0,0
29,1,1228,0.09361945937200526,2488,0.11893643897334627,6018,0.15034809127657736,11687,0.17317289410006578,22569,0.1951193089061604,53262,0.22239308120272527,0,0,0,0,0,0
31,0,1133,0.09271026802501024,2304,0.11793314621308741,5680,0.1499762319102344,10907,0.1724582367130519,20976,0.1941607793255974,49773,0.22154792530314568,1,1,1,1,1,1
37,1,940,0.09279995402426462,1942,0.118558453471861,4716,0.1500155436273655,9106,0.17257430147890823,17538,0.19426923345705732,41413,0.22137544114135893,0,0,0,0,0,0
41,1,849,0.09215524276959099,1728,0.11710380261481156,4194,0.14826419085133952,8106,0.17053646457836913,15767,0.1923291836124619,37414,0.21952929187104203,0,0,0,0,0,0
43,1,834,0.09306508371305569,1674,0.1182086837111137,4041,0.1494597405539016,7815,0.17201242208258852,14989,0.19346864017706455,35559,0.22056462349360803,0,0,0,0,0,0
47,1,760,0.09438668390334454,1528,0.11951276058430955,3685,0.15066257679958248,7161,0.17349995747760935,13776,0.19510443194829766,32547,0.22217087087171436,0,0,0,0,0,0
53,1,633,0.09098104725843051,1298,0.11541871825783324,3273,0.1475695954540545,6292,0.16976434789489497,12104,0.19122473465593265,28745,0.21833195015670892,0,0,0,0,0,0
59,0,585,0.09182788488865105,1192,0.11671037300630457,2890,0.14739476769886953,5609,0.16974484759992267,10794,0.19096838507271915,25827,0.21813132311364228,0,0,0,0,0,0
61,0,546,0.08892133031257365,1139,0.11433220859061795,2784,0.1451310945053489,5359,0.1669414579151642,10440,0.18848026593369055,24850,0.2154603687910755,1,1,1,1,1,1
67,0,532,0.09358849275242709,1051,0.11799104801795242,2537,0.14868574348480268,4949,0.17113180499348682,9512,0.1924395039934715,22769,0.21971214182345633,1,1,1,1,1,1
71,0,487,0.09083919401866365,971,0.1146374463294933,2352,0.14470404204856774,4631,0.16714848351045122,8946,0.18841766330576687,21317,0.2153550568647241,0,0,0,0,0,0
73,1,480,0.09005353655170387,979,0.11539663666768127,2323,0.14561291043037627,4519,0.1679159158000751,8782,0.18958791365050245,20763,0.21642087393118956,0,0,0,0,0,0
79,1,451,0.09363951232632506,916,0.11908357298478178,2196,0.15016098713279996,4218,0.17235174124681973,8121,0.1938452623565971,19185,0.2206077842734389,0,0,0,0,0,0
83,1,401,0.08573395162248179,835,0.11083029529215037,2019,0.14082994771622337,3964,0.16329043971279836,7629,0.1844431137960758,18207,0.21137049389832882,0,0,0,0,0,0
89,0,407,0.09842364929376844,801,0.12268358481144775,1944,0.15376168384371697,3734,0.17593384664450276,7163,0.1971446003530251,16931,0.22378803792234805,1,1,1,1,1,1
97,1,362,0.09161377630087193,731,0.1165484573936355,1735,0.1464732475437249,3394,0.16899580242984252,6563,0.19044925392737397,15576,0.21727669604641853,0,0,0,0,0,0
101,0,351,0.09510606692531721,689,0.11859244676005405,1666,0.1489180415467429,3244,0.1710130210780199,6254,0.19209276820068416,14908,0.2188946671750624,1,1,1,1,1,1
103,0,348,0.09456527276270946,699,0.11949114313567726,1690,0.15065142908051637,3224,0.1725409710801836,6179,0.19374217161715207,14616,0.22041260507655083,1,1,1,1,1,1
107,0,316,0.08975020972465161,640,0.11389574303480773,1613,0.14571461600209243,3088,0.16760367459051803,5937,0.18876372609604122,14101,0.21549846419344207,1,1,1,1,1,1
109,0,326,0.09648142332812161,668,0.12219363247094155,1613,0.15363533946184185,3061,0.17546437311474353,5858,0.19656942397219457,13915,0.223512842428108,1,1,1,1,1,1
113,1,311,0.09381742413828363,617,0.11804693770306077,1505,0.14883987325853337,2927,0.17125932106169162,5679,0.1928597346466597,13393,0.2195690836797307,0,0,0,0,0,0
127,0,271,0.08822717946370412,550,0.11300001102906675,1328,0.14312873006579638,2584,0.1653613843708303,4967,0.18634127090987457,11848,0.2131441868110088,1,1,1,1,1,1
131,1,273,0.0940449623481036,545,0.11869715941893126,1322,0.15028068444687454,2530,0.17217819719604702,4824,0.19317383228776086,11417,0.2197673788842164,0,0,0,0,0,0
137,0,257,0.08767568814697582,522,0.11250054755530371,1252,0.14268821089574998,2427,0.16500829872906467,4649,0.18617917951100468,11015,0.21291668107735126,1,1,1,1,1,1
139,0,259,0.09091215609356529,504,0.1144905044665345,1248,0.14616780898096857,2380,0.16794383056995876,4612,0.18948475315584204,10917,0.21640834633754513,1,1,1,1,1,1
149,0,235,0.08915583403398764,477,0.11480493719093465,1161,0.14583659806004984,2213,0.16753640845045703,4233,0.1884024466200448,10110,0.2152914996413765,1,1,1,1,1,1
151,1,232,0.09611491620427409,454,0.11952961472435639,1125,0.15072688585526323,2214,0.17345947444290924,4234,0.19469672074316036,10020,0.22147331174882498,0,0,0,0,0,0
157,0,229,0.09527289973631745,467,0.12104685205917626,1095,0.15155480123955833,2090,0.17330057749484096,4023,0.1944002560602904,9543,0.2209677697180146,1,1,1,1,1,1
163,0,202,0.08133803376592834,418,0.10574918968510785,1038,0.13670904183407281,2006,0.1585055655812369,3871,0.17972825035344192,9203,0.20640111280772322,0,0,0,0,0,0
167,0,227,0.09761336634648325,435,0.12189648617927168,1043,0.15298887746653456,1986,0.17479845149150694,3827,0.19621286974814953,9032,0.2228594875750556,1,1,0,0,0,0
173,0,202,0.09309568293010619,410,0.11800101567713417,993,0.1489123012315413,1909,0.17102279731653097,3667,0.19218944118450715,8695,0.21890164142882979,0,0,0,0,0,0
179,1,202,0.09852621305008818,408,0.12447624622959919,971,0.15524678875276968,1832,0.17680005124330825,3515,0.19780561137118022,8491,0.22506757187326668,0,0,0,0,0,0
181,1,182,0.0914020651840151,378,0.11641770312431186,935,0.1476140675307972,1798,0.16935361147326453,3500,0.19081576697893005,8315,0.2175103387034342,0,0,0,0,0,0
191,1,175,0.08740770278573612,368,0.11339510445784469,898,0.14380315468426264,1723,0.16558192627235613,3322,0.1869313367482072,7848,0.21346011310118165,0,0,0,0,0,0
193,0,188,0.09635481524175223,352,0.11826243178040849,853,0.14800400710036396,1684,0.17027406954996277,3281,0.1918232702620584,7758,0.218260078082401,1,1,1,1,0,0
197,1,167,0.07707887914521036,335,0.10014017232390074,860,0.1317319161372942,1665,0.15379674828107046,3192,0.17475356689741256,7530,0.20107514475087626,0,0,0,0,0,0
199,0,162,0.08630642814078664,338,0.11115027856280205,865,0.14337611084187601,1672,0.16573921720348905,3197,0.18682875716922787,7559,0.213399523459111,1,1,1,1,1,1
211,1,164,0.0932933527019659,329,0.11764077333249726,791,0.14771200587075653,1566,0.17049998001232183,3030,0.191993376209929,7142,0.21873033090362964,0,0,0,0,0,0
223,1,147,0.08544540618699789,319,0.11171070648765732,774,0.1421462735195036,1482,0.16400623871829562,2862,0.1854849429798108,6717,0.2118572814795366,0,0,0,0,0,0
227,0,157,0.09484965619054678,310,0.11919341726658515,720,0.14782694149462408,1419,0.16972559475666282,2777,0.19111793364569482,6653,0.21814844088280566,1,1,1,1,1,1
229,0,159,0.09534544395331297,310,0.11914181775197227,735,0.14878009452807522,1423,0.17058204567286422,2756,0.19185829375760324,6558,0.2186279192134735,1,0,0,0,0,0
233,1,138,0.08263261303942508,289,0.10700756239489748,723,0.13795154045322106,1429,0.16059630603465086,2729,0.18162321607102933,6472,0.20834541982172408,0,0,0,0,0,0
239,1,147,0.08743893934100934,294,0.11179517893006229,710,0.14248672541572377,1353,0.16403153241188742,2612,0.18488836131048214,6142,0.21074182157331783,0,0,0,0,0,0
241,0,145,0.09241974284918192,301,0.11847054779173279,700,0.14764057312506218,1364,0.16998692307473504,2606,0.1907699460564947,6145,0.21686273933024403,1,1,1,1,1,0
251,1,143,0.09567311758699718,285,0.12001042956784516,681,0.15036204814575174,1324,0.17282329907849775,2555,0.19417654125819428,6017,0.22081925177475453,0,0,0,0,0,0
257,0,126,0.08071588591017673,268,0.10569748727004459,659,0.1361154374908403,1276,0.15807609371815842,2467,0.17956337899544295,5791,0.20576554284032836,1,1,1,1,1,1
263,1,131,0.08423758634815168,256,0.10709534978654568,670,0.1404031606972875,1239,0.1610686081416368,2435,0.18294763507617667,5720,0.20946984496170207,0,0,0,0,0,0
269,0,120,0.0857891440195962,262,0.112643919901709,635,0.14362617273269085,1226,0.1655840672889914,2339,0.18636089462495092,5592,0.21333533421779138,1,1,1,1,0,0
271,0,131,0.09433601963691658,260,0.11854336691037717,622,0.14825728455921117,1213,0.170388554703917,2330,0.1912101849500045,5484,0.21742363438958479,1,1,1,1,1,1
277,0,130,0.09869706377387812,258,0.12347763398867075,625,0.1545922458230315,1189,0.17624479828981818,2307,0.19754715932905237,5445,0.2241355001176901,1,0,0,0,0,0
281,1,118,0.0890892598589838,245,0.11389397981381433,586,0.14372688846218423,1146,0.16569168319051752,2276,0.1874809053898974,5349,0.21391497974754362,0,0,0,0,0,0
283,1,130,0.0956415006512643,269,0.12272697730682879,611,0.15219144872705606,1181,0.17463958083638217,2248,0.1955108294895043,5281,0.22174787514548683,0,0,0,0,0,0
293,0,118,0.08834079492078308,235,0.11234747726084934,571,0.14272501975646884,1112,0.16481676129529282,2166,0.18611295166537603,5124,0.21280773735265612,1,1,1,1,1,1
307,0,113,0.08926601274938564,237,0.11541455833839347,554,0.14492366863264777,1068,0.16684960884401928,2064,0.18799380252352998,4899,0.21465754855905017,1,1,1,1,0,0
311,0,111,0.08969650158405972,216,0.11268056097156617,543,0.14396647369899504,1053,0.1661444702217325,2021,0.18700806637534179,4807,0.21375541445276044,1,1,1,0,0,0
313,0,116,0.08869973475513632,233,0.11416162284197161,559,0.1452638391989145,1072,0.16754096490171957,2048,0.18872201252828194,4790,0.21493185178508453,1,1,1,1,0,0
317,1,118,0.09491337207608477,222,0.11736538979407847,542,0.14874404198872243,1044,0.17098143889312048,2031,0.1927785611979841,4740,0.219066510885946,0,0,0,0,0,0
331,0,108,0.09512852534652054,207,0.1181486032312015,504,0.14792790746431225,996,0.17083738364983758,1921,0.19214593461981008,4536,0.21872125391647065,1,1,1,1,1,1
337,1,101,0.09315635026149635,213,0.11980866414354145,495,0.14882278718581904,953,0.17009084257846235,1859,0.19143114475421819,4453,0.21834694884412353,0,0,0,0,0,0
347,0,108,0.09605893520778587,207,0.12003504136072901,503,0.15116401852553635,947,0.17266216449261484,1807,0.19348517126233905,4327,0.22014856041637712,1,1,1,1,1,1
349,0,101,0.10135235043659173,194,0.12319494171234512,487,0.15480634432294169,927,0.1762110721862966,1803,0.19752835958117937,4305,0.22425103993492343,1,1,1,1,1,1
353,0,98,0.08721999016788,205,0.11295337585670792,475,0.14141333662342923,918,0.1631980831553035,1774,0.1842878477618312,4227,0.21089764455210383,0,0,0,0,0,0
359,1,103,0.09497773205924545,197,0.11920072482283432,467,0.14906584911339574,888,0.1703150303278541,1762,0.192056680260471,4162,0.2186006911127185,0,0,0,0,0,0
