run,Q,budget_fraction,prp_cost_hours,saved_compute_seconds
A,20000000,0.001,1.0,15394.682610354917
A,20000000,0.001,24.0,369472.382648518
A,20000000,0.001,168.0,2586306.6785396263
A,20000000,0.01,1.0,151060.32311410762
A,20000000,0.01,24.0,3625447.7547385828
A,20000000,0.01,168.0,25378134.28317008
A,20000000,0.05,1.0,756263.7832336853
A,20000000,0.05,24.0,18150330.79760845
A,20000000,0.05,168.0,127052315.58325912
A,50000000,0.001,1.0,17614.85816053937
A,50000000,0.001,24.0,422756.5958529449
A,50000000,0.001,168.0,2959296.170970614
A,50000000,0.01,1.0,172845.79570029257
A,50000000,0.01,24.0,4148299.096807021
A,50000000,0.01,168.0,29038093.677649148
A,50000000,0.05,1.0,865329.9071364965
A,50000000,0.05,24.0,20767917.77127592
A,50000000,0.05,168.0,145375424.3989314
B,20000000,0.001,1.0,15394.682610354917
B,20000000,0.001,24.0,369472.382648518
B,20000000,0.001,168.0,2586306.6785396263
B,20000000,0.01,1.0,149369.09239028004
B,20000000,0.01,24.0,3584858.217366721
B,20000000,0.01,168.0,25094007.521567047
B,20000000,0.05,1.0,719648.1247565534
B,20000000,0.05,24.0,17271554.994157284
B,20000000,0.05,168.0,120900884.95910099
B,50000000,0.001,1.0,17614.85816053937
B,50000000,0.001,24.0,422756.5958529449
B,50000000,0.001,168.0,2959296.170970614
B,50000000,0.01,1.0,171154.564976465
B,50000000,0.01,24.0,4107709.5594351594
B,50000000,0.01,168.0,28753966.916046117
B,50000000,0.05,1.0,828714.2486593648
B,50000000,0.05,24.0,19889141.967824753
B,50000000,0.05,168.0,139223993.77477327
C,20000000,0.001,1.0,8748.989849216516
C,20000000,0.001,24.0,209975.75638119638
C,20000000,0.001,168.0,1469830.2946683748
C,20000000,0.01,1.0,88364.79747708682
C,20000000,0.01,24.0,2120755.1394500835
C,20000000,0.01,168.0,14845285.976150585
C,20000000,0.05,1.0,443573.7853552774
C,20000000,0.05,24.0,10645770.848526657
C,20000000,0.05,168.0,74520395.9396866
C,50000000,0.001,1.0,10146.841430964818
C,50000000,0.001,24.0,243524.1943431556
C,50000000,0.001,168.0,1704669.3604020893
C,50000000,0.01,1.0,102483.09845274466
C,50000000,0.01,24.0,2459594.3628658717
C,50000000,0.01,168.0,17217160.5400611
C,50000000,0.05,1.0,514444.86054991634
C,50000000,0.05,24.0,12346676.653197993
C,50000000,0.05,168.0,86426736.57238594
