t,n_top,dt,dy,dx,dy_residual,dx_residual,confidence,q_eff
0,1000000,5,4.9996108,8.507245e-05,9.9996108,8.507245e-05,0.95588403,58773.433
1,1000001,5,4.9996185,0.00039633322,9.9996185,0.00039633322,0.97642451,12615.647
2,1000002,5,4.9999897,-0.0001435936,9.9999897,-0.0001435936,0.97516055,
3,1000003,5,4.9998477,7.159576e-05,9.9998477,7.159576e-05,0.96816438,69836.538
4,1000004,5,4.9997214,-0.00030156059,9.9997214,-0.00030156059,0.95146635,
5,1000005,5,4.9997638,0.00049315322,9.9997638,0.00049315322,0.9524776,10138.837
6,1000006,5,4.9999242,0.00018002805,9.9999242,0.00018002805,0.95119208,27773.45
7,1000007,5,4.9998377,-0.00040470978,9.9998377,-0.00040470978,0.95355018,
8,1000008,5,5.0001544,0.00037872869,10.000154,0.00037872869,0.94447428,13202.063
9,1000009,5,4.9994609,-0.00086319507,9.9994609,-0.00086319507,0.96174571,
10,1000010,5,4.999616,-0.00061981587,9.999616,-0.00061981587,0.96224212,
11,1000011,5,5.0001524,-0.00045172631,10.000152,-0.00045172631,0.97001744,
12,1000012,5,5.0001649,-0.00035933126,10.000165,-0.00035933126,0.97299566,
13,1000013,5,5.0001247,-0.00029708499,10.000125,-0.00029708499,0.98022676,
14,1000014,5,5.0002373,-0.00011304388,10.000237,-0.00011304388,0.97891311,
15,1000015,5,4.9996415,0.00036236438,9.9996415,0.00036236438,0.9769256,13798.266
16,1000016,5,4.999743,7.6697726e-05,9.999743,7.6697726e-05,0.96446721,65190.981
17,1000017,5,5.0002298,0.00087022709,10.00023,0.00087022709,0.96063868,5745.6267
18,1000018,5,4.9999689,-0.00036382672,9.9999689,-0.00036382672,0.96318286,
19,1000019,5,5.0000455,-0.00019412633,10.000046,-0.00019412633,0.96377036,
20,1000020,5,4.9998545,-6.3818002e-05,9.9998545,-6.3818002e-05,0.96202156,
21,1000021,5,5.0001205,5.1550788e-05,10.00012,5.1550788e-05,0.97279084,96991.729
22,1000022,5,4.9996833,2.2628162e-05,9.9996833,2.2628162e-05,0.96455951,220963.59
23,1000023,5,5.0001404,-0.00061236959,10.00014,-0.00061236959,0.95720163,
24,1000024,5,5.0001091,-0.00050084127,10.000109,-0.00050084127,0.95693757,
25,1000025,5,5.0002168,-0.00010293927,10.000217,-0.00010293927,0.96023903,
26,1000026,5,5.0000091,-0.00032617745,10.000009,-0.00032617745,0.96309167,
27,1000027,5,4.9997259,0.00011679404,9.9997259,0.00011679404,0.96884716,42810.404
28,1000028,5,4.9999244,-0.00020294417,9.9999244,-0.00020294417,0.96936974,
29,1000029,5,4.9998583,0.00053858117,9.9998583,0.00053858117,0.96465939,9283.6518
30,1000030,5,4.999875,9.095878e-05,9.999875,9.095878e-05,0.96318199,54969.955
31,1000031,5,4.9999634,7.9505027e-06,9.9999634,7.9505027e-06,0.95881999,628891.05
32,1000032,5,5.0000954,5.3208887e-05,10.000095,5.3208887e-05,0.95884967,93969.265
33,1000033,5,4.9998926,5.6749532e-05,9.9998926,5.6749532e-05,0.95966442,88106.454
34,1000034,5,4.9998312,-0.00037668249,9.9998312,-0.00037668249,0.96424769,
35,1000035,5,4.9999823,0.00010335777,9.9999823,0.00010335777,0.96754812,48375.655
36,1000036,5,4.9998581,0.00013204603,9.9998581,0.00013204603,0.96017805,37865.583
37,1000037,5,5.0002085,-0.0004307698,10.000208,-0.0004307698,0.96661842,
38,1000038,5,5.0002655,0.00051008791,10.000265,0.00051008791,0.96124513,9802.232
39,1000039,5,5.0005106,0.0003960761,10.000511,0.0003960761,0.96188394,12623.837
40,1000040,5,5.0003413,-0.00043358727,10.000341,-0.00043358727,0.9563507,
41,1000041,5,4.9997331,0.00028979131,9.9997331,0.00028979131,0.97092493,17253.795
42,1000042,5,4.9999505,0.00016948349,9.9999505,0.00016948349,0.9674122,29501.399
43,1000043,5,4.9998187,0.00013182958,9.9998187,0.00013182958,0.97124276,37927.756
44,1000044,5,5.0000502,-0.0001475434,10.00005,-0.0001475434,0.956234,
45,1000045,5,4.9998601,0.00010701358,9.9998601,0.00010701358,0.96002083,46723.04
46,1000046,5,4.9999905,5.3764172e-05,9.9999905,5.3764172e-05,0.95093936,92998.735
47,1000047,5,5.0000308,-0.00018342038,10.000031,-0.00018342038,0.95284692,
48,1000048,5,5.000034,0.00055853234,10.000034,0.00055853234,0.95289746,8952.0331
49,1000049,5,4.9999773,0.00034536328,9.9999773,0.00034536328,0.96968997,14477.509
50,1000050,5,5.0001547,-0.00031136584,10.000155,-0.00031136584,0.96007738,
51,1000051,5,5.0002043,0.00014283109,10.000204,0.00014283109,0.96906664,35006.385
52,1000052,5,5.0001508,-0.00013918978,10.000151,-0.00013918978,0.96859715,
53,1000053,5,5.00031,-9.2906349e-05,10.00031,-9.2906349e-05,0.96288879,
54,1000054,5,4.9999609,-8.2191035e-05,9.9999609,-8.2191035e-05,0.96868529,
55,1000055,5,4.9999407,0.00031699566,9.9999407,0.00031699566,0.97833156,15773.087
56,1000056,5,4.9999104,0.00041747947,9.9999104,0.00041747947,0.96880353,11976.637
57,1000057,5,4.9996944,1.6581967e-05,9.9996944,1.6581967e-05,0.97314186,301532.39
58,1000058,5,4.9997421,2.0301918e-05,9.9997421,2.0301918e-05,0.96686168,246282.15
59,1000059,5,4.9998754,0.00016167312,9.9998754,0.00016167312,0.96459125,30926.6
60,1000060,5,4.999971,0.00018614628,9.999971,0.00018614628,0.96340577,26860.596
61,1000061,5,4.9999894,-0.00010042065,9.9999894,-0.00010042065,0.96428014,
62,1000062,5,4.9997788,4.5471076e-05,9.9997788,4.5471076e-05,0.95657822,109960.01
63,1000063,5,4.9997756,-3.0308628e-05,9.9997756,-3.0308628e-05,0.96429282,
64,1000064,5,5.0001722,-0.00018048459,10.000172,-0.00018048459,0.95423558,
65,1000065,5,5.000101,0.00019326881,10.000101,0.00019326881,0.95812265,25870.703
66,1000066,5,4.9999375,-0.00076285675,9.9999375,-0.00076285675,0.9653493,
67,1000067,5,5.000159,0.00022712532,10.000159,0.00022712532,0.97266891,22014.278
68,1000068,5,4.999698,0.00041428747,9.999698,0.00041428747,0.95504874,12068.914
69,1000069,5,4.9995449,0.00068024577,9.9995449,0.00068024577,0.96458614,7350.2846
70,1000070,5,4.9996761,0.00036953322,9.9996761,0.00036953322,0.96465684,13530.583
71,1000071,5,4.9998761,0.00044109063,9.9998761,0.00044109063,0.9574626,11335.539
