t,n_top,dt,dy,dx,dy_residual,dx_residual,confidence,q_eff
0,1000000,5,5.0318481,99.074162,10.031848,99.074162,0.016458547,
1,1000001,5,-1.9226484,240.99822,3.0773516,240.99822,0.017841663,
2,1000002,5,4.9934016,11.969332,9.9934016,11.969332,0.020122914,
3,1000003,5,4.9999187,205.0402,9.9999187,205.0402,0.018185776,
4,1000004,5,4.9790649,196.01407,9.9790649,196.01407,0.018342114,
5,1000005,5,5.0082319,197.98167,10.008232,197.98167,0.01786467,
6,1000006,5,5.0258147,226.08216,10.025815,226.08216,0.016646663,
7,1000007,5,5.0143457,228.99856,10.014346,228.99856,0.021192267,
8,1000008,5,4.9882273,52.00044,9.9882273,52.00044,0.0166436,
9,1000009,5,-39.05796,121.90832,-34.05796,121.90832,0.015395789,
10,1000010,5,4.9829568,-46.067358,9.9829568,-46.067358,0.018656244,
11,1000011,5,5.040658,36.054344,10.040658,36.054344,0.019872905,
12,1000012,5,5.0182293,77.081152,10.018229,77.081152,0.016896888,
13,1000013,5,5.0133437,-241.00989,10.013344,-241.00989,0.017430667,
14,1000014,5,5.0085303,-161.07015,10.00853,-161.07015,0.016173816,
15,1000015,5,5.0245285,106.9337,10.024528,106.9337,0.018043893,
16,1000016,5,5.0009296,-94.036886,10.00093,-94.036886,0.020187228,
17,1000017,5,11.893363,202.01262,16.893363,202.01262,0.01647241,
18,1000018,5,4.9957367,78.97374,9.9957367,78.97374,0.023561552,
19,1000019,5,4.9873434,61.921117,9.9873434,61.921117,0.015688973,
20,1000020,5,4.9739825,137.08131,9.9739825,137.08131,0.023113465,
21,1000021,5,5.0087796,-90.086572,10.00878,-90.086572,0.016634675,
22,1000022,5,4.9838558,245.02288,9.9838558,245.02288,0.018638522,
23,1000023,5,4.978689,-147.98043,9.978689,-147.98043,0.01644731,
24,1000024,5,4.9773659,75.041956,9.9773659,75.041956,0.020995227,
25,1000025,5,4.9073242,237.9795,9.9073242,237.9795,0.019083,
26,1000026,5,5.0032129,136.03746,10.003213,136.03746,0.01796549,
27,1000027,5,5.0261697,63.988663,10.02617,63.988663,0.019764653,
28,1000028,5,18.976439,-69.964726,23.976439,-69.964726,0.018341145,
29,1000029,5,5.0090669,34.035875,10.009067,34.035875,0.018730396,
30,1000030,5,5.0465468,-223.94808,10.046547,-223.94808,0.016651413,
31,1000031,5,37.980732,-113.0201,42.980732,-113.0201,0.018196099,
32,1000032,5,38.001635,214.0516,43.001635,214.0516,0.017733015,
33,1000033,5,-1.9699136,169.96352,3.0300864,169.96352,0.015175309,
34,1000034,5,4.9797592,89.991775,9.9797592,89.991775,0.016173668,
35,1000035,5,5.0427905,-111.97119,10.042791,-111.97119,0.021665412,
36,1000036,5,-6.017613,191.02501,-1.017613,191.02501,0.017520752,
37,1000037,5,2.0605251,-204.03473,7.0605251,-204.03473,0.01567923,
38,1000038,5,4.9316407,-211.96983,9.9316407,-211.96983,0.019699899,
39,1000039,5,5.0008427,171.02528,10.000843,171.02528,0.021783371,
40,1000040,5,4.9950442,-142.07807,9.9950442,-142.07807,0.020320586,
41,1000041,5,4.9914193,-76.960113,9.9914193,-76.960113,0.018225223,
42,1000042,5,5.017301,238.01828,10.017301,238.01828,0.019155331,
43,1000043,5,5.0080294,-12.047746,10.008029,-12.047746,0.018630577,
44,1000044,5,5.0045225,21.075268,10.004523,21.075268,0.016500116,
45,1000045,5,4.9591327,-235.97942,9.9591327,-235.97942,0.018386353,
46,1000046,5,5.0294539,-149.08281,10.029454,-149.08281,0.0189844,
47,1000047,5,4.9793054,-244.95726,9.9793054,-244.95726,0.018067361,
48,1000048,5,4.9485571,116.21684,9.9485571,116.21684,0.016559391,
49,1000049,5,5.0266413,-57.095252,10.026641,-57.095252,0.016517165,
50,1000050,5,4.9625111,-4.8852267,9.9625111,-4.8852267,0.017044069,
51,1000051,5,55.052153,79.037998,60.052153,79.037998,0.018113874,
52,1000052,5,5.0007265,-190.94963,10.000727,-190.94963,0.020398029,
53,1000053,5,-23.082401,-13.99574,-18.082401,-13.99574,0.015856447,
54,1000054,5,5.0357773,122.0143,10.035777,122.0143,0.019815165,
55,1000055,5,27.011797,137.02693,32.011797,137.02693,0.015516515,
56,1000056,5,4.9491489,159.04503,9.9491489,159.04503,0.019656411,
57,1000057,5,4.9969611,113.07546,9.9969611,113.07546,0.016883075,
58,1000058,5,-16.060323,-68.981859,-11.060323,-68.981859,0.017377057,
59,1000059,5,4.9757512,80.062937,9.9757512,80.062937,0.0164979,
60,1000060,5,-22.980443,83.99099,-17.980443,83.99099,0.017133678,
61,1000061,5,4.9770494,-138.006,9.9770494,-138.006,0.019047474,
62,1000062,5,4.9580485,-161.00036,9.9580485,-161.00036,0.021356157,
63,1000063,5,5.0317511,-70.95272,10.031751,-70.95272,0.02403616,
64,1000064,5,0.0098659358,122.03999,5.0098659,122.03999,0.017074144,
65,1000065,5,5.0273086,-54.972805,10.027309,-54.972805,0.016909858,
66,1000066,5,4.9353447,121.97094,9.9353447,121.97094,0.017976146,
67,1000067,5,5.0265721,105.93367,10.026572,105.93367,0.018177924,
68,1000068,5,5.030899,173.07649,10.030899,173.07649,0.018027826,
69,1000069,5,4.9981462,220.01864,9.9981462,220.01864,0.017962774,
70,1000070,5,4.9985449,-170.91755,9.9985449,-170.91755,0.020736134,
71,1000071,5,25.036212,244.00317,30.036212,244.00317,0.015058735,
72,1000072,5,137.97951,-248.99069,142.97951,-248.99069,0.01725829,
73,1000073,5,-20.984612,-145.95588,-15.984612,-145.95588,0.015731115,
74,1000074,5,4.9458863,92.006619,9.9458863,92.006619,0.017898936,
75,1000075,5,5.0093715,84.005966,10.009372,84.005966,0.018948427,
76,1000076,5,4.989873,-253.97463,9.989873,-253.97463,0.017753426,
77,1000077,5,5.0010016,-91.063716,10.001002,-91.063716,0.020716802,
78,1000078,5,5.0057148,149.9915,10.005715,149.9915,0.019031016,
79,1000079,5,4.9828159,118.10111,9.9828159,118.10111,0.017420391,
80,1000080,5,5.0079854,-38.017427,10.007985,-38.017427,0.015107124,
81,1000081,5,5.0646579,3.0583495,10.064658,3.0583495,0.016774972,
82,1000082,5,4.9664066,-80.067323,9.9664066,-80.067323,0.019139396,
83,1000083,5,49.021931,31.001263,54.021931,31.001263,0.014952082,
84,1000084,5,5.0092394,79.956286,10.009239,79.956286,0.01719193,
85,1000085,5,-27.998681,-159.00238,-22.998681,-159.00238,0.016935736,
86,1000086,5,4.9655841,-26.993854,9.9655841,-26.993854,0.017327675,
87,1000087,5,-21.02624,-248.00197,-16.02624,-248.00197,0.019606905,
88,1000088,5,4.9766929,-65.942597,9.9766929,-65.942597,0.023842994,
89,1000089,5,4.9772835,-211.00489,9.9772835,-211.00489,0.01865719,
90,1000090,5,5.0093921,224.06874,10.009392,224.06874,0.018403215,
91,1000091,5,5.0088673,0.013488251,10.008867,0.013488251,0.027006618,
92,1000092,5,-10.00314,127.98897,-5.0031401,127.98897,0.015748624,
93,1000093,5,4.9388391,143.9674,9.9388391,143.9674,0.019519449,
94,1000094,5,4.944015,188.88772,9.944015,188.88772,0.015943952,
95,1000095,5,5.0241403,-53.010736,10.02414,-53.010736,0.021167299,
96,1000096,5,5.0343331,179.00442,10.034333,179.00442,0.020899004,
97,1000097,5,4.9868237,-13.060409,9.9868237,-13.060409,0.026991649,
98,1000098,5,5.0240053,-222.98833,10.024005,-222.98833,0.01977892,
99,1000099,5,5.0270798,-110.93811,10.02708,-110.93811,0.019685665,
100,1000100,5,4.9708932,38.974724,9.9708932,38.974724,0.020453098,
101,1000101,5,5.0109904,-233.03587,10.01099,-233.03587,0.017064663,
102,1000102,5,4.9594793,92.997135,9.9594793,92.997135,0.02034288,
103,1000103,5,5.0068463,-62.02037,10.006846,-62.02037,0.027414472,
104,1000104,5,5.007305,-130.9722,10.007305,-130.9722,0.016613077,
