n_start,t,dx_profile,corr_peak,dx_peak,dx_corr
1000000,0,-3.9994696,0.93557148,-4,-0.10050692
1000000,1,0,0.95363792,0,-0.11303047
1000000,2,0,0.95559569,0,-0.11345905
1000000,3,0,0.95559569,0,-0.11345905
1000000,4,0,0.88926315,0,-0.060397431
1000000,5,0,0.89415008,0,0.0097269747
1000000,6,0,0.86614315,0,0.011947406
1000000,7,0,0.87288612,0,0.01103966
1000000,8,0,0.84515483,0,0.026892782
1000000,9,0,0.879358,0,-0.028988203
1000000,10,0,0.86526079,0,-0.022860154
1000000,11,0,0.88154553,0,-0.021776719
1000000,12,0,0.88154553,0,-0.021776719
1000000,13,0,0.94906896,0,-0.0027356828
1000000,14,0,0.97706133,0,-0.0075228147
1000000,15,0,0.97095657,0,-0.034364828
1000000,16,0,0.94169556,0,-0.039006119
1000000,17,0,0.92881023,0,-0.027844233
1000000,18,0,0.92881023,0,-0.027844233
1000000,19,0,0.92430548,0,-0.03006246
1000000,20,0,0.90051618,0,0.012529164
1000000,21,0,0.92595783,0,-0.049849139
1000000,22,0,0.93771545,0,-0.06226926
1000000,23,0,0.93771545,0,-0.06226926
1000000,24,0,0.8930356,0,-0.12298832
1000000,25,0,0.96117723,0,-0.083095533
1000000,26,0,0.96704419,0,-0.075859678
1000000,27,0,0.96704419,0,-0.075859678
1000000,28,0,0.92144234,0,-0.050281875
1000000,29,0,0.9113183,0,-0.019962847
1000000,30,0,0.9113183,0,-0.019962847
1000000,31,-7.9984613,0.84783043,-8,-0.036772768
1000000,32,-7.9984613,0.84784626,-8,-0.037139312
1000000,33,-7.9984613,0.93130147,-8,-0.039100344
1000000,34,-7.9984613,0.94675097,-8,-0.028126376
1000000,35,-7.9984613,0.94675097,-8,-0.028126376
1000000,36,0,0.9991333,0,0.0037607174
1000000,37,0,0.96320668,0,-0.11419826
1000000,38,0,0.96298312,0,-0.11524066
1000000,39,0,0.9629705,0,-0.11697037
1000000,40,0,0.9629705,0,-0.11697037
1000000,41,0,0.95002222,0,-0.098545509
1000000,42,0,0.96243986,0,0.022328848
1000000,43,0,0.96184689,0,0.023080291
1000000,44,11.462642,0.90050177,11,0.070617211
1000000,45,11.462642,0.84113182,11,0.062413598
1000000,46,11.462642,0.75073523,11,0.12060794
1000000,47,11.462642,0.76645366,11,0.10393685
1000000,48,11.462642,0.76645366,11,0.10393685
1000000,49,0,0.92702954,0,0.011886756
1000000,50,0,0.95126229,0,0.016639339
1000000,51,0,0.9725568,0,-0.027744857
1000000,52,0,0.95842,0,-0.066479132
1000000,53,0,0.958246,0,-0.060615476
1000000,54,0,0.958246,0,-0.060615476
1000000,55,0,0.98439719,0,-0.029896842
1000000,56,44.997543,0.97113814,45,-0.021923616
1000000,57,44.997543,0.98769068,45,0.011196142
1000000,58,44.997543,0.9888057,45,0.0070643305
1000000,59,44.997543,0.98880599,45,0.0070484999
1000000,60,44.997543,0.98880599,45,0.0070484999
1000000,61,9.9820375,0.9626931,10,0.0097412885
1000000,62,9.9820375,0.92889825,10,0.041791872
1000000,63,9.9820375,0.92889825,10,0.041791872
1000000,64,11.53066,0.92889825,11,0.041791872
1000000,65,11.53066,0.95372169,11,0.0039437766
1000000,66,1.548623,0.97384156,1,0.032289156
1000000,67,1.548623,0.98534421,1,0.071375967
1000000,68,1.548623,0.94789266,1,0.069645221
1000000,69,0,0.94939776,0,0.064099228
1000000,70,0,0.94939776,0,0.064099228
1000000,71,0,0.9329592,0,0.0055897972
1000000,72,0,0.94438946,0,-0.064210055
1000000,73,0,0.96767446,0,-0.038297395
1000000,74,0,0.96767446,0,-0.038297395
1000000,75,0,0.96772668,0,-0.038722828
1000000,76,0,0.92598935,0,0.013352774
1000000,77,0,0.93638993,0,0.011156462
1000000,78,0,0.93638993,0,0.011156462
1000000,79,0,0.93508389,0,0.014592924
1000000,80,0,0.93506489,0,0.014738558
1000000,81,0,0.9984185,0,0.0051918601
1000000,82,0,0.99966661,0,0.0028239616
1000000,83,0,0.99966661,0,0.0028239616
1000000,84,0,0.99945152,0,-0.0023822982
1000000,85,0,0.99945152,0,-0.0023822982
1000000,86,0,0.99025295,0,0.022305339
1000000,87,0,0.99025295,0,0.022305339
1000000,88,0,0.99025295,0,0.022305339
1000000,89,0,0.98703748,0,0.025181116
