n_start,t,n_top,peak_id,k_peak,k_peak_sub,peak_value
1000000,0,1000000,0,319,318.55571,0.00060218416
1000000,0,1000000,1,318,318,0.00060017909
1000000,0,1000000,2,385,385.01684,0.00059840412
1000000,1,1000001,0,315,314.55624,0.0005951742
1000000,1,1000001,1,314,314.55824,0.0005931753
1000000,1,1000001,2,385,385.01684,0.00064127106
1000000,2,1000002,0,315,314.55624,0.0005951742
1000000,2,1000002,1,314,314.55824,0.0005931753
1000000,2,1000002,2,385,385.01684,0.00064127106
1000000,3,1000003,0,315,314.55624,0.0005951742
1000000,3,1000003,1,314,314.55824,0.0005931753
1000000,3,1000003,2,385,385.01684,0.00064127106
1000000,4,1000004,0,315,314.55624,0.0005951742
1000000,4,1000004,1,314,314.55824,0.0005931753
1000000,4,1000004,2,385,385.01684,0.00064127106
1000000,5,1000005,0,315,314.55624,0.0005951742
1000000,5,1000005,1,314,314.55824,0.0005931753
1000000,5,1000005,2,385,385.01684,0.00064127106
1000000,6,1000006,0,315,314.55624,0.0005951742
1000000,6,1000006,1,314,314.55824,0.0005931753
1000000,6,1000006,2,385,385.01684,0.00064127106
1000000,7,1000007,0,315,314.55624,0.0005951742
1000000,7,1000007,1,314,314.55824,0.0005931753
1000000,7,1000007,2,385,385.01684,0.00064127106
1000000,8,1000008,0,315,314.55624,0.0005951742
1000000,8,1000008,1,314,314.55824,0.0005931753
1000000,8,1000008,2,385,385.01684,0.00064127106
1000000,9,1000009,0,315,314.55624,0.0005951742
1000000,9,1000009,1,314,314.55824,0.0005931753
1000000,9,1000009,2,385,385.01684,0.00059827141
1000000,10,1000010,0,315,314.55624,0.0005951742
1000000,10,1000010,1,314,314.55824,0.0005931753
1000000,10,1000010,2,385,385.01684,0.00059827141
1000000,11,1000011,0,315,314.55624,0.0005951742
1000000,11,1000011,1,314,314.55824,0.0005931753
1000000,11,1000011,2,385,385.01684,0.00059827141
1000000,12,1000012,0,315,314.55624,0.0005951742
1000000,12,1000012,1,314,314.55824,0.0005931753
1000000,12,1000012,2,385,385.01684,0.00059827141
1000000,13,1000013,0,315,314.55624,0.0005951742
1000000,13,1000013,1,314,314.55824,0.0005931753
1000000,13,1000013,2,385,385.01684,0.00059827141
1000000,14,1000014,0,315,314.55624,0.0005951742
1000000,14,1000014,1,314,314.55824,0.0005931753
1000000,14,1000014,2,351,351.0185,0.00058518766
1000000,15,1000015,0,315,314.55624,0.0005951742
1000000,15,1000015,1,314,314.55824,0.0005931753
1000000,15,1000015,2,351,351.0185,0.00058518766
1000000,16,1000016,0,315,314.55624,0.0005951742
1000000,16,1000016,1,314,314.55824,0.0005931753
1000000,16,1000016,2,351,351.0185,0.00058518766
