n_start,t,dx_profile,corr_peak,dx_peak,dx_corr
1000000,0,20.975153,0.42206651,21,12.710086
1000000,1,124.11107,0.47864045,123,19.409769
1000000,2,146.52826,0.48901867,146,44.086596
1000000,3,101.90072,0.4549387,102,-37.161693
1000000,4,7.89443,0.38526984,8,-62.500051
1000000,5,-113.75281,0.33978487,-113,10.965383
1000000,6,-191.11842,0.65589102,-190,-2.6270899
1000000,7,-163.08537,0.4215289,-163,-25.048
1000000,8,-100.18123,0.62272061,-100,-4.6608674
1000000,9,-83.881016,0.49564963,-83,-22.700299
1000000,10,167.06096,0.53173632,166,34.626764
1000000,11,189.58461,0.24331198,189,9.6371462
1000000,12,148,0.53309772,148,-16.095397
1000000,13,82.411584,0.37974282,82,-34.347589
1000000,14,130.20089,0.49002848,129,30.39429
1000000,15,1.6610396,0.85243286,2,0.5644333
1000000,16,-218.8642,0.80491287,-219,0.070308637
1000000,17,-126.09726,0.31581156,-126,-19.898696
1000000,18,-125.29146,0.48144277,-126,-60.353132
1000000,19,-201.62625,0.41462796,-201,11.495894
1000000,20,-233.29686,0.82869486,-233,1.1577816
1000000,21,-163.29099,0.42348454,-163,32.755764
1000000,22,-172.3368,0.30903331,-173,2.0547489
1000000,23,-137.65024,0.66300642,-137,56.130447
1000000,24,21.527572,0.48066359,22,-63.496372
1000000,25,-65.483005,0.37712341,-65,-8.710658
1000000,26,100.55717,0.30139868,100,51.295929
1000000,27,71.951988,0.32925191,73,-5.4420037
1000000,28,50.739914,0.33569973,51,-42.778076
1000000,29,240.01441,0.42628588,239,35.945043
1000000,30,205.87935,0.44331732,205,37.892142
1000000,31,143.56034,0.57638317,144,59.41386
1000000,32,286.31686,0.37097973,286,-7.99537
1000000,33,2.8818524,0.49566702,3,40.995404
1000000,34,-385.52561,0.86024486,-385,0.89679239
1000000,35,-316.50544,0.38298301,-316,8.2910464
1000000,36,-48.631794,0.41259901,-49,-12.86393
1000000,37,-143.83479,0.84438878,-144,-0.25202296
1000000,38,119.2127,0.572655,119,16.976031
1000000,39,269.73683,0.36366858,269,35.2729
1000000,40,265.37611,0.76526689,265,-0.34462452
1000000,41,36.669477,0.46657572,37,32.668121
1000000,42,8,0.49472547,8,-47.584083
1000000,43,-14.397857,0.59917136,-14,37.921452
1000000,44,-62.56049,0.53455751,-62,-27.136194
1000000,45,-17.574796,0.43018291,-17,16.221437
1000000,46,-67,0.3787209,-67,59.964808
1000000,47,-60.280579,0.36210526,-60,50.484235
1000000,48,-0.72525724,0.40166807,-1,2.9662476
1000000,49,113.07164,0.40738141,113,16.015754
1000000,50,171.90831,0.42902032,171,0.31516569
1000000,51,147.1579,0.49968113,147,24.713709
1000000,52,56.632647,0.31676181,57,33.699084
1000000,53,72.35642,0.3382926,72,35.763632
1000000,54,-36.128941,0.70011028,-36,-40.869955
1000000,55,-149.35973,0.73033157,-149,-1.7417866
1000000,56,-45.1579,0.35462209,-45,-45.676905
1000000,57,80.376221,0.38918456,80,30.305074
1000000,58,-108.35642,0.41054896,-108,21.005914
1000000,59,-95.347205,0.38024117,-96,18.663008
1000000,60,72.938814,0.59882808,72,-2.5485522
1000000,61,115.61437,0.4703145,115,43.530797
1000000,62,-83.554326,0.40632467,-83,-21.883343
1000000,63,128.47702,0.39562979,128,8.1679792
1000000,64,195.76495,0.47378032,196,49.49891
1000000,65,-41.265446,0.5183863,-40,-4.3168735
1000000,66,-169.1031,0.74048794,-168,-0.9841268
1000000,67,96.826037,0.52562551,96,62.876387
1000000,68,-35.47702,0.364995,-35,-40.571772
1000000,69,-71.490537,0.72473874,-71,-3.1189306
1000000,70,114.13824,0.42100736,114,-55.083262
