n_start,t,n_top,peak_id,k_peak,k_peak_sub,peak_value
1000000,0,1000000,0,388,388.11171,0.00061452878
1000000,0,1000000,1,464,464.4463,0.00060327977
1000000,0,1000000,2,465,465,0.00060027957
1000000,1,1000001,0,359,358.42274,0.0006054985
1000000,1,1000001,1,358,358.48096,0.00060661341
1000000,1,1000001,2,207,207,0.00060273748
1000000,2,1000002,0,277,276.5571,0.00059096111
1000000,2,1000002,1,275,274.57463,0.00060162899
1000000,2,1000002,2,155,155,0.00060006302
1000000,3,1000003,0,336,336.09928,0.00059028575
1000000,3,1000003,1,342,342.2995,0.00057972986
1000000,3,1000003,2,86,85.702288,0.00058829424
1000000,4,1000004,0,379,379.13769,0.00060718541
1000000,4,1000004,1,381,380.91229,0.00059541263
1000000,4,1000004,2,454,454.05319,0.00061684977
1000000,5,1000005,0,409,409.08686,0.00058430005
1000000,5,1000005,1,237,236.73138,0.00057929287
1000000,5,1000005,2,183,183.31193,0.00057918883
1000000,6,1000006,0,482,482.5338,0.00062593184
1000000,6,1000006,1,242,242.34882,0.00059750541
1000000,6,1000006,2,243,242.13338,0.00059261885
1000000,7,1000007,0,423,423.08537,0.00058929126
1000000,7,1000007,1,199,198.70804,0.00061161729
1000000,7,1000007,2,198,197.98425,0.0006007308
1000000,8,1000008,0,438,438,0.00058973596
1000000,8,1000008,1,332,331.83831,0.00059206637
1000000,8,1000008,2,46,45.787807,0.00060250758
1000000,9,1000009,0,387,387.03212,0.00057117931
1000000,9,1000009,1,313,312.93257,0.00057115731
1000000,9,1000009,2,65,65.50094,0.00057260317
1000000,10,1000010,0,296,295.33405,0.00059828241
1000000,10,1000010,1,295,295.19808,0.00060572927
1000000,10,1000010,2,8,7.8001914,0.00058527947
1000000,11,1000011,0,292,291.41539,0.00057828442
1000000,11,1000011,1,291,291.28946,0.00058139549
1000000,11,1000011,2,30,29.772007,0.0005736277
1000000,12,1000012,0,260,260,0.00059839845
1000000,12,1000012,1,259,258.9142,0.00061128989
1000000,12,1000012,2,191,191.98416,0.00060427365
1000000,13,1000013,0,338,337.81877,0.00059494027
1000000,13,1000013,1,396,395.71707,0.00057982995
1000000,13,1000013,2,477,477.7703,0.0005842764
1000000,14,1000014,0,304,303.1511,0.00056696351
1000000,14,1000014,1,477,477.87316,0.00057474026
1000000,14,1000014,2,478,478.16142,0.00058862702
1000000,15,1000015,0,462,462.39501,0.00059584196
1000000,15,1000015,1,464,463.42899,0.00058873122
1000000,15,1000015,2,463,463,0.00059117668
1000000,16,1000016,0,481,481,0.0005826151
1000000,16,1000016,1,482,482.70787,0.00059817068
1000000,16,1000016,2,483,482.59717,0.00060084771
1000000,17,1000017,0,408,408,0.00058015646
1000000,17,1000017,1,407,407.24074,0.00058960361
1000000,17,1000017,2,344,344,0.00057184202
1000000,18,1000018,0,420,420.23035,0.00058862905
1000000,18,1000018,1,421,421.21442,0.00057529899
1000000,18,1000018,2,359,358.68185,0.00056950916
1000000,19,1000019,0,433,433.35199,0.00059785138
1000000,19,1000019,1,434,434,0.00058874326
1000000,19,1000019,2,288,288.03925,0.00059193976
1000000,20,1000020,0,464,464.05605,0.00057574116
1000000,20,1000020,1,467,466.99884,0.0005761764
1000000,20,1000020,2,257,257,0.00057240236
1000000,21,1000021,0,262,262.1358,0.00056960883
1000000,21,1000021,1,195,195,0.000569735
1000000,21,1000021,2,194,194.0634,0.00058540727
1000000,22,1000022,0,282,281.90274,0.00058772187
