run_id,n_start,q0,H,W,weights,dt,smooth,frames,conf_min,sanity,runtime_s,mean_dx,median_dx,q_eff,slope_kpeak,track_r2,valid_frac,wave_strength,visibility_score,notes
n1e6_q6_H512_W1024_invq_dt5_sm9_none,1000000,6,512,1024,invq,5,9,300,0.15,none,0.17129898071289062,0.8338983050847457,1.0,5.995934959349594,0.16669720568005006,0.9995993999831521,1.0,3.6955007312652204,3.6947604482908476,
n1e6_q7_H512_W1024_invq_dt5_sm9_none,1000000,7,512,1024,invq,5,9,300,0.15,none,0.15716838836669922,0.711864406779661,1.0,7.023809523809524,0.14285714285711484,0.9994487384149092,1.0,3.974221907613553,3.9731263386723246,
n1e6_q8_H512_W1024_invq_dt5_sm9_none,1000000,8,512,1024,invq,5,9,300,0.15,none,0.1770637035369873,0.6237288135593221,1.0,8.016304347826086,0.12504323763378605,0.9992748729364502,1.0,4.237126910588338,4.235590404299971,
n1e6_q9_H512_W1024_invq_dt5_sm9_none,1000000,9,512,1024,invq,5,9,300,0.15,none,0.1668698787689209,0.5525423728813559,1.0,9.049079754601228,0.11115484214744437,0.9990766857444853,1.0,4.486875035436833,4.484803159236716,
n1e6_q10_H512_W1024_invq_dt5_sm9_none,1000000,10,512,1024,invq,5,9,300,0.15,none,0.16518807411193848,0.49491525423728816,0.0,10.102739726027396,0.09999953256605144,0.9988730814508703,1.0,4.744151798201075,4.741477908344065,
n1e6_q11_H512_W1024_invq_dt5_sm9_none,1000000,11,512,1024,invq,5,9,300,0.15,none,0.1490952968597412,0.45084745762711864,0.0,11.090225563909774,0.09095328465788054,0.9986175691598222,1.0,4.944787326774201,4.941368231450494,
n1e6_q12_H512_W1024_invq_dt5_sm9_none,1000000,12,512,1024,invq,5,9,300,0.15,none,0.16001558303833008,0.41694915254237286,0.0,11.991869918699187,0.08336683276148753,0.9983384576736766,1.0,5.1753536595484295,5.1710523375189705,
n1e6_q13_H512_W1024_invq_dt5_sm9_none,1000000,13,512,1024,invq,5,9,300,0.15,none,0.23046350479125977,0.376271186440678,0.0,13.288288288288289,0.07691250572594535,0.9980720858100463,1.0,5.443965419756553,5.438715138921804,
n1e6_q14_H512_W1024_invq_dt5_sm9_none,1000000,14,512,1024,invq,5,9,300,0.15,none,0.21407818794250488,0.3559322033898305,0.0,14.047619047619047,0.07135985864782186,0.9977543940947307,1.0,5.595969252996379,5.589682550848777,
n1e6_q15_H512_W1024_invq_dt5_sm9_none,1000000,15,512,1024,invq,5,9,300,0.15,none,0.3789076805114746,0.3389830508474576,0.0,14.75,0.06665139715983034,0.997430564670016,1.0,5.851340194712673,5.8438180395700305,
