rank,f_idx,period_estimate,power
1,30769,6.500048750365628,2438973.853210034
2,92308,2.1666594444685185,1600782.700402819
3,82353,2.42856969387879,1438692.2713823426
4,94737,2.1111075925984566,1385721.6760477882
5,76923,2.6000026000026,1134841.136707094
6,35294,5.6666855556185185,1116274.339360692
7,61538,3.250024375182814,1111376.4720176915
8,78261,2.555551296303395,937308.6485266591
9,58824,3.3999728002175984,744524.4319806113
10,61539,3.249971562748826,741969.618808867
11,73684,2.714293469409913,680877.8649116391
12,10526,19.000570017100515,660818.7913119436
13,43478,4.600027600165601,627845.0303299616
14,23529,8.50014875260317,577500.3867875945
15,58823,3.4000306002754024,575452.2129866269
16,21053,9.499833752909325,508584.0987415757
17,19355,10.333247222939809,499202.7979562616
18,13793,14.500108750815631,494617.40675747924
19,69565,2.875008984403076,480178.5535981757
20,84211,2.374986640700146,456176.996583602
21,34783,5.749935313227726,448885.5398796216
22,23530,8.499787505312367,440260.48242719105
23,81081,2.4666691333358,411672.19771052187
24,27586,7.2500543754078155,403854.8081671769
25,46154,4.333318888937037,402517.94015002635
26,41379,4.833369583605211,383344.1036454869
27,86957,2.2999873500695744,380370.58233372704
28,8696,22.999080036798528,369681.02475757187
29,38710,5.1666236114699045,369416.5818135795
30,94118,2.124992031279883,358875.6076508118
