m,max_lift,min_lift,chi2,pbar
663,2.201945051462125,0.0,3913.5265788766724,0.049625
741,2.4629163168205985,0.0,3819.885623312096,0.049625
442,2.0017682286019314,0.0,3713.6548530848218,0.049625
494,2.139503063096682,0.0,3591.3291979911655,0.049625
221,1.8035821144773647,0.0,3547.918078075664,0.049625
598,2.232311196247304,0.0,3386.2765258610257,0.049625
247,1.8658456945610595,0.0,3382.185324104965,0.049625
806,2.437637117087836,0.0,3355.146179909356,0.049625
754,2.2726842294653506,0.0,3326.399112295254,0.049625
299,1.7771552714115206,0.0,3147.5210071661845,0.049625
646,2.086848776829457,0.0,3136.033016440498,0.049625
782,2.2126734824912333,0.0,3105.985454635259,0.049625
377,1.8630293237013447,0.0,2983.350775291106,0.049625
403,1.8245493109792252,0.0,2978.58262355477,0.049625
793,2.159050017992083,0.0,2900.2606007506947,0.049625
323,1.7876005525310799,0.0,2899.2499868404316,0.049625
481,1.9422779278322357,0.0,2883.2529303417873,0.049625
767,2.325130788606859,0.0,2879.5074278723223,0.049625
611,1.9719763670957255,0.0,2858.0040662618517,0.049625
559,2.1389471314186004,0.0,2841.7602002736326,0.049625
