rank,f_idx,period_estimate,power
1,1000000,2.2,361600203.954638
2,200000,11.0,273204523.4276973
3,169231,12.999982272751446,208219569.72304907
4,800000,2.75,164943394.6074607
5,517647,4.250000482954601,119498768.9210032
6,507692,4.333335959597552,105027415.18363215
7,694737,3.1666659469698604,98192014.25482148
8,338462,6.499991136375723,93680968.78118993
9,676923,3.250000369318224,84095625.272457
10,1035294,2.1250002414773004,74646904.11934184
11,400000,5.5,69296818.09535061
12,810526,2.7142867718000407,68113021.82443729
13,338461,6.5000103409255425,67351126.24780214
14,478261,4.599998745454887,65857894.23043507
15,258824,8.499984545482645,62247908.030832686
16,776471,2.8333318308088775,52270146.4515325
17,956522,2.2999993727274437,50674943.199744724
18,258823,8.500017386399199,44481046.556523845
19,926316,2.3749994602273956,43369799.17016947
20,986207,2.2307689967724826,43338418.61408926
21,578947,3.800002418183357,42292261.420337945
22,115789,19.000077727590703,39074002.73191514
23,227586,9.666675454553443,39005737.49511066
24,765217,2.8750014701712066,37091226.913666405
25,780645,2.818182400450909,34028096.85219351
26,669565,3.2857153525049845,32884899.102215834
27,905882,2.4285723747684576,32628289.479960494
28,231579,9.499997840909582,32007989.08336763
29,846154,2.5999995272728134,31405035.40372407
30,758621,2.899998813636849,29952931.294999216
