rank,f_idx,period_estimate,power
1,169231,10.636349132251183,197273057.3783126
2,338462,5.318174566125592,74040261.49092168
3,517647,3.4772731224174,68294259.36235851
4,507692,3.5454566942161785,61342836.03291938
5,258824,6.954532809940345,54572339.606707275
6,338461,5.31819027893908,53864189.385247506
7,478261,3.7636353371903626,45305695.51783964
8,835294,2.1549298809760398,42153726.77894244
9,258823,6.9545596797811635,38702508.351944365
10,494737,3.638296711181901,38420993.13191597
11,115789,15.54551814075603,37527346.986351825
12,694737,2.5909085020662497,35515232.56559258
13,610526,2.9482773870400276,35306626.02133059
14,227586,7.90909809918009,34639263.95689841
15,676923,2.659091211260365,32510434.06878767
16,476923,3.7741941571280897,31947140.308970995
17,317647,5.666667716049577,29711923.969172712
18,231579,7.772725506198749,29185020.183969777
19,756522,2.3793095243760263,29114953.10746027
20,118919,15.136353316122738,26934026.10916054
