segment_idx,rank,f_idx,power
0,1,9091,1026351.765301718
0,2,45455,675856.8034847883
0,3,7692,635011.7661455311
0,4,45454,539827.5248973942
0,5,15385,526618.12948748
1,1,9091,786593.9889601313
1,2,7692,575010.5278043274
1,3,45455,479293.2023901884
1,4,45454,385762.61239457264
1,5,23077,358189.316939433
2,1,9091,801930.205405319
2,2,7692,481998.01411777845
2,3,23077,442764.87366200134
2,4,36364,328256.1527058168
2,5,45454,326890.0573117741
3,1,9091,571960.1236420413
3,2,45455,506374.64285991143
3,3,7692,408260.8519962603
3,4,23077,361793.9519535803
3,5,31579,344375.2193257156
4,1,9091,704437.8352859669
4,2,7692,375520.772702849
4,3,45455,346474.2369228455
4,4,23077,307348.7562099404
4,5,15385,296003.17309289024
5,1,9091,511151.9359681579
5,2,45455,436120.7054896616
5,3,7692,391206.81206865585
5,4,45454,294550.21156820795
5,5,15385,274984.25960537425
6,1,9091,519416.9341609216
6,2,45455,413834.1091711923
6,3,23077,383964.8025823307
6,4,7692,319067.82905086695
6,5,31579,270158.59315600793
7,1,9091,596917.4726958893
7,2,7692,492924.2335231714
7,3,45455,341166.278237099
7,4,23077,340054.6532089978
7,5,36364,292443.16782451136
8,1,9091,504500.23930957133
8,2,45455,397320.0301414961
8,3,7692,316137.83433792647
8,4,15385,289739.76495154423
8,5,23077,246617.1374643244
9,1,9091,461099.27968589787
9,2,7692,359646.11919391045
9,3,45455,340365.7540094305
9,4,15385,295268.282765266
9,5,45454,282490.22460942913
10,1,9091,481651.19998375326
10,2,7692,388161.2099650185
10,3,45455,363523.8628815067
10,4,23077,339630.08329431585
10,5,45454,254716.44947318285
11,1,9091,549910.9339838005
11,2,7692,393367.0232350876
11,3,45455,341708.6865228352
11,4,15385,284566.2557050222
11,5,23077,249087.3833661575
12,1,9091,484026.1830536492
12,2,7692,415003.80984794843
12,3,45455,301215.38964915887
12,4,45454,295615.42196166
12,5,23077,273875.3790907179
13,1,9091,403674.288218313
13,2,7692,330471.0104068361
13,3,45455,305173.08843291056
13,4,45454,249069.5982447294
13,5,11765,244765.55853600762
14,1,9091,460633.4539271138
14,2,7692,353610.0346542618
14,3,45455,296789.0829338545
14,4,31579,269251.7258833667
14,5,23077,236093.01256382294
15,1,9091,488359.49607174256
15,2,45455,380124.29284208076
15,3,7692,298211.98288710235
15,4,23077,292060.03718747065
15,5,15385,254144.3608972211
16,1,9091,489086.58363403636
16,2,45455,294613.9271298194
16,3,23077,272079.00684600184
16,4,7692,258370.50779622814
16,5,45454,232350.5462812624
17,1,9091,481945.9975498907
17,2,7692,402860.69199080236
17,3,45455,278797.02000044135
17,4,23077,221599.9385089048
17,5,45454,218305.87406378565
18,1,9091,466797.77168379736
18,2,7692,339518.9328099922
18,3,45455,315581.8351261558
18,4,23077,273294.6998611839
18,5,15385,225622.749152831
19,1,9091,513865.25511896453
19,2,7692,299676.7961743481
19,3,23077,268399.31533065997
19,4,45455,267924.0323191524
19,5,45454,244129.84854317078
20,1,9091,523151.81494685484
20,2,7692,286496.0196030022
20,3,23077,260756.66394017392
20,4,45454,248710.0222887665
20,5,11765,221946.31041818517
21,1,9091,520071.825234777
21,2,7692,338126.95140054397
21,3,23077,276124.9998128937
21,4,45455,255269.14654651264
21,5,11765,213067.34763804675
