t,center,is_twin,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,t_mod_13,is_forbidden_13,dist_to_forbid_13,t_mod_17,is_forbidden_17,dist_to_forbid_17,t_mod_19,is_forbidden_19,dist_to_forbid_19,layer_hits_L1,layer_hits_L2,layer_hits_L3,layer_allow_L1,layer_allow_L2,layer_allow_L3
12656,350824320,1,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,8,0,3,2,0,1,0,0,0,1,1,1
79852,2213497440,1,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,3,0,2,14,0,4,0,0,0,1,1,1
22854,633512880,1,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,6,0,1,16,0,2,0,0,0,1,1,1
127232,3526871040,1,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,4,0,1,8,0,7,0,0,0,1,1,1
79461,2202658920,1,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,3,0,2,3,0,2,0,0,0,1,1,1
29322,812805840,1,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,14,0,2,5,0,4,0,0,0,1,1,1
8898,246652560,1,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,7,0,2,6,0,5,0,0,0,1,1,1
117670,3261812400,1,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,13,0,1,3,0,2,0,0,0,1,1,1
173672,4814187840,1,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,0,0,5,12,0,6,0,0,0,1,1,1
183421,5084430120,1,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,8,0,3,14,0,4,0,0,0,1,1,1
101266,2807093520,1,0,61,61,1,0.01639344262295082,0.0,0.0,9,0,1,14,0,2,15,0,3,0,0,0,1,1,1
104261,2890114920,1,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,0,0,5,8,0,7,0,0,0,1,1,1
12571,348468120,1,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,8,0,3,12,0,6,0,0,0,1,1,1
45780,1269021600,1,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,16,0,4,9,0,8,0,0,0,1,1,1
37331,1034815320,1,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,16,0,4,15,0,3,0,0,0,1,1,1
103148,2859262560,1,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,9,0,3,16,0,2,0,0,0,1,1,1
182853,5068685160,1,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,1,0,4,16,0,2,0,0,0,1,1,1
101777,2821258440,1,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,15,0,3,13,0,5,0,0,0,1,1,1
72685,2014828200,1,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,10,0,2,10,0,8,0,0,0,1,1,1
47149,1306970280,1,0,61,61,1,0.01639344262295082,0.0,0.0,11,0,1,8,0,3,10,0,8,0,0,0,1,1,1
