win_start,q,count
1,1,60
1,2,60
1,3,60
1,4,55
1,5,44
1,6,36
1,7,31
1,8,27
1,9,24
1,10,22
1,11,20
1,12,18
1,13,16
1,14,15
1,15,14
1,16,13
1,17,12
1,18,12
1,19,11
1,20,11
1,21,10
1,22,10
1,23,9
1,24,9
1,25,8
1,26,8
1,27,8
1,28,7
1,29,7
1,30,7
1,31,7
1,32,6
1,33,6
1,34,6
1,35,6
1,36,6
1,37,5
1,38,5
1,39,5
1,40,5
1,41,5
1,42,5
1,43,5
1,44,5
1,45,4
1,46,4
1,47,4
1,48,4
1,49,4
1,50,4
61,4,45
61,5,44
61,3,40
61,6,36
61,7,32
61,2,30
61,8,28
61,9,25
61,10,22
61,11,20
61,12,18
61,13,17
61,14,16
61,16,14
61,15,14
61,17,13
61,18,12
61,21,11
61,19,11
61,20,11
61,22,10
61,23,10
61,24,9
61,25,9
61,31,8
61,26,8
61,27,8
61,28,8
61,32,7
61,33,7
61,34,7
61,35,7
61,29,7
61,30,7
61,36,6
61,37,6
61,38,6
61,39,6
61,40,6
61,41,5
61,42,5
61,43,5
61,44,5
61,45,5
61,46,5
61,61,4
61,62,4
61,63,4
61,64,4
61,65,4
121,5,36
121,6,36
121,7,31
121,4,30
121,8,27
121,9,24
121,10,22
121,11,20
121,3,20
121,12,18
121,13,17
121,14,16
121,16,14
121,15,14
121,17,13
121,18,12
121,21,11
121,19,11
121,20,11
121,22,10
121,25,9
121,26,9
121,23,9
121,24,9
121,27,8
121,28,8
121,31,7
121,32,7
121,33,7
121,34,7
121,29,7
121,30,7
121,41,6
121,42,6
121,35,6
121,36,6
121,37,6
121,43,5
121,44,5
121,45,5
121,46,5
121,47,5
121,48,5
121,38,5
121,39,5
121,40,5
121,61,4
121,62,4
121,63,4
121,64,4
181,7,32
181,6,30
181,8,28
181,5,24
181,9,24
181,10,22
181,11,20
181,12,18
181,13,17
181,14,16
181,4,15
181,16,14
181,15,14
181,17,13
181,19,12
181,18,12
181,21,11
181,20,11
181,23,10
181,22,10
181,26,9
181,24,9
181,25,9
181,27,8
181,28,8
181,31,7
181,32,7
181,33,7
181,29,7
181,30,7
181,37,6
181,38,6
181,39,6
181,40,6
181,34,6
181,35,6
181,36,6
181,46,5
181,47,5
181,48,5
181,49,5
181,50,5
181,41,5
181,42,5
181,43,5
181,44,5
181,61,4
181,62,4
181,63,4
181,64,4
241,8,27
241,7,26
241,9,25
241,10,22
241,11,20
241,6,20
241,12,18
241,13,17
241,14,15
241,15,14
241,17,13
241,16,13
241,5,12
241,19,12
241,18,12
241,20,11
241,22,10
241,21,10
241,23,10
241,27,9
241,25,9
241,24,9
241,28,8
241,26,8
241,35,7
241,31,7
241,32,7
241,29,7
241,30,7
241,41,6
241,36,6
241,37,6
241,33,6
241,38,6
241,34,6
241,49,5
241,50,5
241,42,5
241,51,5
241,43,5
241,44,5
241,45,5
241,39,5
241,46,5
241,40,5
241,61,4
241,62,4
241,63,4
241,64,4
241,65,4
301,9,24
301,8,23
301,10,22
301,11,20
301,7,18
301,12,18
301,13,17
301,14,16
301,16,14
301,15,14
301,17,13
301,19,12
301,18,12
301,20,11
301,6,10
301,22,10
301,21,10
301,26,9
301,24,9
301,23,9
301,28,8
301,27,8
301,25,8
301,34,7
301,31,7
301,29,7
301,32,7
301,30,7
301,43,6
301,38,6
301,39,6
301,35,6
301,40,6
301,36,6
301,33,6
301,37,6
301,51,5
301,44,5
301,52,5
301,45,5
301,46,5
301,41,5
301,47,5
301,42,5
301,61,4
301,62,4
301,63,4
301,53,4
301,64,4
301,54,4
361,10,22
361,11,20
361,9,20
361,12,18
361,13,17
361,14,16
361,8,15
361,16,14
361,15,14
361,17,13
361,19,12
361,18,12
361,20,11
361,23,10
361,22,10
361,21,10
361,26,9
361,7,9
361,25,9
361,24,9
361,28,8
361,29,8
361,27,8
361,33,7
361,31,7
361,34,7
361,32,7
361,30,7
361,41,6
361,37,6
361,38,6
361,35,6
361,36,6
361,52,5
361,46,5
361,47,5
361,42,5
361,48,5
361,43,5
361,39,5
361,44,5
361,40,5
361,61,4
361,53,4
361,62,4
361,63,4
361,54,4
361,64,4
361,55,4
361,56,4
421,11,20
421,10,18
421,12,18
421,13,17
421,14,15
421,9,14
421,16,14
421,15,14
421,17,13
421,18,12
421,19,11
421,20,11
421,22,10
421,21,10
421,25,9
421,24,9
421,23,9
421,8,8
421,27,8
421,29,8
421,26,8
421,33,7
421,31,7
421,32,7
421,28,7
421,30,7
421,39,6
421,36,6
421,40,6
421,34,6
421,37,6
421,35,6
421,47,5
421,53,5
421,43,5
421,48,5
421,44,5
421,49,5
421,45,5
421,41,5
421,38,5
421,42,5
421,71,4
421,61,4
421,54,4
421,62,4
421,55,4
421,63,4
421,64,4
421,56,4
481,12,18
481,13,17
481,11,17
481,14,16
481,15,14
481,17,13
481,16,13
481,18,12
481,10,12
481,21,11
481,19,11
481,20,11
481,23,10
481,22,10
481,25,9
481,24,9
481,27,8
481,29,8
481,26,8
481,28,8
481,9,7
481,35,7
481,33,7
481,31,7
481,30,7
481,37,6
481,41,6
481,38,6
481,36,6
481,34,6
481,32,6
481,44,5
481,49,5
481,45,5
481,50,5
481,42,5
481,46,5
481,39,5
481,43,5
481,40,5
481,69,4
481,54,4
481,61,4
481,70,4
481,55,4
481,62,4
481,63,4
481,56,4
481,51,4
481,57,4
541,13,17
541,14,16
541,12,15
541,16,14
541,15,14
541,17,13
541,19,12
541,18,12
541,21,11
541,11,11
541,20,11
541,22,10
541,23,10
541,26,9
541,25,9
541,24,9
541,29,8
541,28,8
541,27,8
541,34,7
541,32,7
541,31,7
541,33,7
541,30,7
541,42,6
541,39,6
541,10,6
541,37,6
541,40,6
541,35,6
541,38,6
541,36,6
541,50,5
541,46,5
541,43,5
541,47,5
541,44,5
541,41,5
541,68,4
541,61,4
541,55,4
541,69,4
541,62,4
541,56,4
541,51,4
541,63,4
541,57,4
541,52,4
541,48,4
541,58,4
601,14,16
601,16,14
601,13,14
601,15,14
601,17,13
601,19,12
601,18,12
601,21,11
601,20,11
601,12,10
601,22,10
601,23,9
601,24,9
601,29,8
601,28,8
601,27,8
601,26,8
601,25,8
601,32,7
601,34,7
601,31,7
601,30,7
601,43,6
601,11,6
601,38,6
601,36,6
601,41,6
601,39,6
601,33,6
601,37,6
601,35,6
601,47,5
601,51,5
601,44,5
601,48,5
601,45,5
601,42,5
601,40,5
601,67,4
601,55,4
601,61,4
601,68,4
601,56,4
601,62,4
601,52,4
601,57,4
601,63,4
601,53,4
601,49,4
601,58,4
661,16,14
661,15,14
661,17,13
661,14,13
661,19,12
661,18,12
661,20,11
661,13,10
661,23,10
661,21,10
661,22,10
661,24,9
661,25,9
661,29,8
661,28,8
661,27,8
661,26,8
661,35,7
661,32,7
661,31,7
661,30,7
661,39,6
661,37,6
661,40,6
661,34,6
661,38,6
661,36,6
661,33,6
661,51,5
661,48,5
661,42,5
661,12,5
661,45,5
661,43,5
661,46,5
661,41,5
661,44,5
661,67,4
661,61,4
661,56,4
661,52,4
661,62,4
661,57,4
661,49,4
661,53,4
661,58,4
661,50,4
661,54,4
661,47,4
661,55,4
721,17,13
721,16,13
721,19,12
721,15,12
721,18,12
721,20,11
721,22,10
721,21,10
721,25,9
721,26,9
721,14,9
721,23,9
721,24,9
721,29,8
721,28,8
721,27,8
721,33,7
721,32,7
721,31,7
721,30,7
721,38,6
721,35,6
721,37,6
721,39,6
721,34,6
721,36,6
721,52,5
721,13,5
721,43,5
721,49,5
721,46,5
721,41,5
721,44,5
721,47,5
721,42,5
721,40,5
721,66,4
721,56,4
721,61,4
721,67,4
721,57,4
721,53,4
721,62,4
721,50,4
721,58,4
721,54,4
721,51,4
721,45,4
721,48,4
721,55,4
781,17,13
781,16,12
781,18,12
781,19,11
781,20,11
781,23,10
781,22,10
781,21,10
781,27,9
781,24,9
781,25,9
781,29,8
781,28,8
781,15,8
781,26,8
781,34,7
781,33,7
781,32,7
781,31,7
781,30,7
781,36,6
781,38,6
781,40,6
781,35,6
781,37,6
781,46,5
781,49,5
781,14,5
781,44,5
781,42,5
781,47,5
781,50,5
781,45,5
781,43,5
781,39,5
781,41,5
781,71,4
781,56,4
781,66,4
781,61,4
781,53,4
781,57,4
781,62,4
781,54,4
781,58,4
781,51,4
781,48,4
781,55,4
781,52,4
781,87,3
841,18,12
841,17,11
841,19,11
841,20,11
841,23,10
841,22,10
841,21,10
841,25,9
841,24,9
841,29,8
841,16,8
841,26,8
841,27,8
841,34,7
841,33,7
841,32,7
841,31,7
841,28,7
841,30,7
841,37,6
841,39,6
841,36,6
841,35,6
841,47,5
841,53,5
841,50,5
841,45,5
841,43,5
841,41,5
841,48,5
841,46,5
841,38,5
841,44,5
841,40,5
841,42,5
841,65,4
841,61,4
841,57,4
841,15,4
841,66,4
841,54,4
841,51,4
841,62,4
841,58,4
841,55,4
841,49,4
841,52,4
841,94,3
841,77,3
841,106,3
901,21,11
901,19,11
901,20,11
901,22,10
901,18,10
901,26,9
901,24,9
901,23,9
901,17,8
901,27,8
901,28,8
901,25,8
901,35,7
901,32,7
901,29,7
901,31,7
901,30,7
901,41,6
901,43,6
901,38,6
901,34,6
901,40,6
901,33,6
901,37,6
901,36,6
901,53,5
901,48,5
901,46,5
901,44,5
901,42,5
901,39,5
901,70,4
901,65,4
901,57,4
901,16,4
901,61,4
901,54,4
901,51,4
901,58,4
901,62,4
901,49,4
901,55,4
901,52,4
901,47,4
901,45,4
901,50,4
901,56,4
901,82,3
901,101,3
901,91,3
961,21,11
961,20,11
961,23,10
961,22,10
961,19,10
961,26,9
961,25,9
961,24,9
961,31,8
